DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK),DKI (MK - AK - RK)
JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas,JHU Atlas
Anterior thalamic radiation L,–,–,–,–,–,1.12,2.528,0.529,0.411,0.674
Anterior thalamic radiation R,0.72,−2.812,−0.570,−0.489,−0.675,–,–,–,–,–
Cortical spinal tract L,–,–,–,–,–,1.08,2.819,0.571,0.479,0.700
Cortical spinal tract R,–,–,–,–,–,2.08,2.008,0.447,0.392,0.547
Cingulum cingulate gyrus L,–,–,–,–,–,0.70,2.556,0.536,0.482,0.609
Forceps major,–,–,–,–,–,4.77,2.522,0.524,0.394,0.715
Forceps minor,–,–,–,–,–,0.32,2.524,0.531,0.464,0.609
Inferior fronto-occipital fasciculus L,0.37,−3.134,−0.609,−0.505,−0.708,8.52,2.439,0.514,0.404,0.715
Inferior fronto-occipital fasciculus R,–,–,–,–,–,7.36,2.137,0.468,0.391,0.626
Inferior longitudinal fasciculus L,0.45,−3.116,−0.607,−0.503,−0.708,8.83,2.382,0.505,0.405,0.715
Inferior longitudinal fasciculus R,–,–,–,–,–,12.77,2.212,0.480,0.391,0.656
Superior longitudinal fasciculus L,–,–,–,–,–,3.40,2.344,0.502,0.405,0.671
Superior longitudinal fasciculus R,–,–,–,–,–,5.33,2.059,0.455,0.391,0.686
Uncinate fasciculus L,–,–,–,–,–,3.97,2.388,0.509,0.404,0.674
Uncinate fasciculus R,–,–,–,–,–,1.33,2.227,0.482,0.399,0.616
Superior longitudinal fasciculus temporal L,–,–,–,–,–,5.85,2.272,0.491,0.405,0.638
Superior longitudinal fasciculus temporal R,–,–,–,–,–,12.19,2.082,0.459,0.391,0.686
ICBM81 Atlas,,,,,,,,,,
Splenium of corpus callosum,–,–,–,–,–,2.84,2.548,0.534,0.416,0.628
Posterior limb of internal capsule R,–,–,–,–,–,1.20,1.872,0.423,0.396,0.481
Retrolenticular part of internal capsule R,–,–,–,–,–,24.93,2.174,0.475,0.391,0.608
Retrolenticular part of internal capsule L,–,–,–,–,–,4.01,2.230,0.484,0.418,0.562
Anterior corona radiata L,–,–,–,–,–,0.79,2.287,0.495,0.456,0.565
Posterior corona radiata R,–,–,–,–,–,0.97,1.961,0.439,0.396,0.510
Posterior thalamic radiation R,–,–,–,–,–,22.66,2.018,0.449,0.391,0.566
Posterior thalamic radiation L,–,–,–,–,–,25.64,2.497,0.521,0.409,0.715
Sagittal stratum R,–,–,–,–,–,15.62,2.101,0.463,0.391,0.586
Sagittal stratum L,–,–,–,–,–,22.59,2.385,0.508,0.408,0.631
External capsule R,–,–,–,–,–,1.05,1.933,0.434,0.396,0.505
External capsule L,–,–,–,–,–,4.24,2.318,0.499,0.404,0.641
Fornix (cres) / Stria terminalis R,–,–,–,–,–,6.05,1.996,0.445,0.397,0.548
Fornix (cres) / Stria terminalis L,–,–,–,–,–,3.02,2.119,0.466,0.407,0.520
Superior longitudinal fasciculus R,–,–,–,–,–,16.30,2.042,0.452,0.391,0.686
Superior longitudinal fasciculus L,–,–,–,–,–,4.68,2.518,0.529,0.408,0.643
Uncinate fasciculus L,–,–,–,–,–,17.82,2.139,0.469,0.410,0.580
