Unnamed: 0_level_0,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI,EMCI,EMCI,EMCI,LMCI,LMCI,LMCI,LMCI
Posterior thalamic radiation R,24.47,0.38,-,-,-,-,-,-,-,-,12.49,0.32,-,-
Posterior thalamic radiation L,47.23,0.41,16.16,0.54,-,-,32.91,0.4,-,-,23.63,0.34,-,-
Sagittal stratum R,23.52,0.37,-,-,-,-,10.95,0.35,-,-,11.71,0.31,-,-
Sagittal stratum L,53.2,0.47,34.02,0.6,5.6,0.77,46.35,0.46,24.47,0.57,34.2,0.35,6.59,0.56
External capsule R,41.85,0.39,11.12,0.53,-,-,19.98,0.37,-,-,20.8,0.33,-,-
External capsule L,56.33,0.47,31.04,0.59,-,-,39.07,0.42,6.23,0.53,28.98,0.38,5.55,0.57
Cingulum (cingulate gyrus) R,48.33,0.37,-,-,-,-,21.9,0.36,-,-,17.12,0.35,-,-
Cingulum (cingulate gyrus) L,51.73,0.43,20.61,0.57,-,-,30.39,0.41,-,-,31.3,0.38,-,-
Fornix (cres)/stria terminalis R,53.91,0.34,-,-,-,-,-,-,-,-,33.36,0.36,-,-
Fornix (cres)/stria terminalis L,63.56,0.45,41.33,0.54,-,-,34.04,0.37,-,-,55.02,0.39,12.71,0.59
Superior longitudinal fasciculus R,31.85,0.35,-,-,-,-,4.89,0.35,-,-,11.08,0.31,-,-
Superior longitudinal fasciculus L,54.26,0.42,14.46,0.58,-,-,41.56,0.42,9.9,0.58,21.62,0.36,-,-
Superior fronto-occipital fasciculus L,11.83,0.33,-,-,-,-,-,-,-,-,19.92,0.31,-,-
Uncinate fasciculus R,22.89,0.3,-,-,-,-,2.11,0.34,-,-,1.05,0.31,-,-
Uncinate fasciculus L,11.17,0.36,-,-,-,-,-,-,-,-,7.18,0.35,-,-
Tapetum R,51.01,0.36,-,-,-,-,-,-,-,-,49.66,0.34,-,-
Tapetum L,68.17,0.39,24.67,0.59,-,-,4.83,0.33,-,-,63.83,0.34,6.17,0.52
