Unnamed: 0_level_0,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI,EMCI,EMCI,EMCI,LMCI,LMCI,LMCI,LMCI
External capsule L,50.1,−0.41,23.02,−0.63,-,-,34.04,−0.39,4.46,−0.64,33.42,−0.42,8.7,−0.58
Cingulum (cingulate gyrus) R,34.2,−0.36,12.85,−0.55,-,-,23.95,−0.37,-,-,18.66,−0.36,-,-
Cingulum (cingulate gyrus) L,36.64,−0.37,16.65,−0.59,-,-,25.81,−0.38,-,-,23.63,−0.36,3.78,−0.52
Cingulum (hippocampus) L,34.81,−0.41,24.85,−0.63,-,-,-,-,-,-,25.11,−0.39,-,-
Fornix (cres)/stria terminalis R,63.79,−0.46,52.4,−0.68,-,-,42.26,−0.34,-,-,53.91,−0.42,-,-
Fornix (cres)/stria terminalis L,47.64,−0.43,40.27,−0.63,-,-,43.64,−0.35,-,-,32.8,−0.38,12.62,−0.59
Superior longitudinal fasciculus R,49.19,−0.38,17.44,−0.62,-,-,49.7,−0.41,2.21,−0.6,19.74,−0.37,-,-
Superior longitudinal fasciculus L,67.84,−0.45,40.82,−0.7,-,-,61.15,−0.46,28.69,−0.67,40.53,−0.41,1.7,−0.62
Superior fronto-occipital fasciculus R,42.21,−0.33,-,-,-,-,45.96,−0.39,-,-,0,0,-,-
Superior fronto-occipital fasciculus L,45.36,−0.32,-,-,-,-,15.78,−0.32,-,-,31.95,−0.35,-,-
Uncinate fasciculus R,27.89,−0.35,9.47,−0.59,-,-,15.79,−0.33,-,-,27.89,−0.35,-,-
Tapetum R,85.91,−0.42,35.57,−0.54,-,-,5.54,−0.37,-,-,74.33,−0.48,25.84,−0.61
Tapetum L,74,−0.48,65.33,−0.7,-,-,20.83,−0.33,-,-,71.83,−0.53,47.83,−0.61
