PMID,title,subjects,patient_groups,imaging_modalities,whitematter_tracts,analysis_software,study_type,diffusion_measures,template_space,results_method,white_integrity,question_of_study,DTI_study,Human_study,Dementia_study,Disease_study
38378607,"The relationship between amyloid pathology, cerebral small vessel disease, glymphatic dysfunction, and cognition: a study based on Alzheimers disease continuum participants",humans,Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,PET;diffusion MRI;Anatomical MRI,,,single study,DTI-ALPS,,mediation analysis;correlation,decrease,Aβ aggregation and WMH burden vs glymphatic function and cognition,yes,yes,yes,Mild Cognitive Impairment;Cerebral Small Vessel Disease;Dementia;Alzheimers Disease
31585368,Association of white matter microstructural integrity with cognition and dementia,humans,Mild Cognitive Impairment;Dementia,diffusion MRI,Global,,single study,FA;MD,,,increase,association of white matter microstructural integrity with cognition and incident MCI or dementia,yes,yes,yes,Mild Cognitive Impairment;Dementia
26515192,An advanced white matter tract analysis in frontotemporal dementia and early-onset Alzheimers disease,humans,Early-onset Alzheimer's disease;Healthy elderly controls;Behavioral variant frontotemporal dementia,diffusion-weighted MRI;Diffusion tensor imaging (DTI),Parahippocampal Cingulum;Anterior Thalamic Radiations;Uncinate Fasciculus;Superior Longitudinal Fasciculus;Corpus Callosum;Cingulum Bundle,,single study,FA;MD;AD;RD,,,decrease,Early-onset Alzheimer's disease vs Healthy elderly controls;Behavioral variant frontotemporal dementia vs Healthy elderly controls;Behavioral variant frontotemporal dementia vs Early-onset Alzheimer's disease,yes,yes,yes,Behavioral Variant Frontotemporal Dementia;Alzheimers Disease
19439421,White matter damage in frontotemporal dementia and Alzheimers disease measured by diffusion MRI,humans,Alzheimers disease;Frontotemporal dementia;Healthy controls,DTI;diffusion MRI;Anatomical MRI,Cingulum;Uncinate Fasciculus;Anterior Corpus Callosum;Corpus Callosum;Global;(Anterior) Cingulum Bundle;Corticospinal Tract,,single study,FA,,voxel-by-voxel analysis,decrease,Frontotemporal dementia vs Alzheimers disease;Frontotemporal dementia patients vs controls;Alzheimers disease patients vs controls,yes,yes,yes,Frontotemporal Dementia;Alzheimers Disease
38702626,BMC Medical Imaging,humans,Mild Cognitive Impairment;Alzheimer's disease,diffusion MRI;DTI,,,single study,,,Delong test,no mention,MCI patients who progress to Alzheimer's disease vs MCI patients who do not progress,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
33848693,White matter abnormalities of right hemisphere attention networks contribute to visual hallucinations in dementia with Lewy bodies,humans,Healthy controls;Dementia with Lewy bodies (DLB) with visual hallucinations;Dementia with Lewy bodies (DLB) without visual hallucinations,diffusion MRI;fMRI;Anatomical MRI,Inferior Longitudinal Fasciculus;Superior Longitudinal Fasciculus,,single study,FA;MD,,correlation,decrease;increase,Association between right ILF/SLF microstructure and severity of visual hallucinations;DLB patients vs healthy controls;DLB with visual hallucinations vs DLB without visual hallucinations,yes,yes,yes,Lewy Body Dementia
31881858,"Multimodal MRI of grey matter, white matter, and functional connectivity in cognitively healthy mutation carriers at risk for frontotemporal dementia and Alzheimers disease",humans,Frontotemporal dementia;Healthy controls;Alzheimer's disease,diffusion MRI;fMRI;Anatomical MRI,Inferior Fronto-Occipital Fasciculus;Uncinate Fasciculus;Corpus Callosum - Splenium;Anterior Thalamic Radiation;Forceps Minor,,single study,FA,,,decrease;no mention,APOE4 carriers vs controls;FTD-risk carriers vs AD-risk carriers (divergence);MAPT/GRN carriers vs controls,yes,yes,yes,Frontotemporal Dementia;Alzheimers Disease
24150110,Regional Differences in White Matter Breakdown Between Frontotemporal Dementia and Early-Onset Alzheimers Disease 1,humans,Healthy controls;Behavioral Variant Frontotemporal Dementia;Early-Onset Alzheimer's disease,diffusion MRI;Anatomical MRI,Corpus Callosum - Genu;Frontal Forceps;Corpus Callosum - Splenium,,single study,FA;MD;AD;RD,,correlation,decrease,Association of white matter integrity with emotional blunting;Behavioral Variant Frontotemporal Dementia vs Early-Onset Alzheimer's disease;bvFTD and AD vs Healthy controls,yes,yes,yes,Behavioral Variant Frontotemporal Dementia;Alzheimers Disease
38010204,"Associations Between White Matter Integrity of the Cingulum Bundle, Surrounding Gray Matter Regions, and Cognition Across the Dementia Continuum",humans,Dementia;Alzheimer's disease,diffusion MRI,Cingulum Bundle,,single study,,,,no mention,"Associations between cingulum white matter integrity, gray matter volume, and cognition across the dementia continuum",yes,yes,yes,Dementia;Alzheimers Disease
22952843,Grey and White Matter Changes across the Amyotrophic Lateral Sclerosis-Frontotemporal Dementia Continuum,humans,Behavioral Variant Frontotemporal Dementia;Healthy controls;Amyotrophic Lateral Sclerosis;ALS-FTD,diffusion MRI;Anatomical MRI,Corticospinal Tract,,single study,,,,decrease,ALS vs Healthy controls;bvFTD vs other subtypes;ALS-FTD vs ALS;Behavioral Variant Frontotemporal Dementia vs Healthy controls;ALS-FTD vs Healthy controls,yes,yes,yes,Frontotemporal Dementia;Behavioral Variant Frontotemporal Dementia
33199431,Multi-shell Diffusion MRI Models for White Matter Characterization in Cerebral Small Vessel Disease,,Cerebral Small Vessel Disease,diffusion MRI,,,,,,,,white matter characterization in Cerebral Small Vessel Disease,no,no,no,Cerebral Small Vessel Disease
27436017,Functional connectivity and microstructural white matter changes in phenocopy frontotemporal dementia,humans,Phenocopy frontotemporal dementia (phFTD);Behavioral variant frontotemporal dementia (bvFTD);Healthy controls,diffusion MRI;fMRI,,,single study,,,,no mention,Behavioral variant frontotemporal dementia (bvFTD) vs Healthy controls;Phenocopy frontotemporal dementia (phFTD) vs Healthy controls;Phenocopy frontotemporal dementia (phFTD) vs Behavioral variant frontotemporal dementia (bvFTD),yes,yes,yes,Frontotemporal Dementia;Behavioral Variant Frontotemporal Dementia
32032816,NeuroImage: Clinical,humans,Dementia with Lewy bodies;Healthy controls,PET;diffusion MRI;Anatomical MRI,Corona Radiata;Superior Longitudinal Fasciculus;Corpus Callosum,TBSS;CAT12,single study,FA;MD;RD,,correlation,decrease;increase,Dementia with Lewy bodies patients vs controls;microglial activation vs cognition in DLB;microglial activation vs white matter changes in DLB,yes,yes,yes,Lewy Body Dementia
34230607,Neurobiology of loneliness: a systematic review,humans,,fMRI;EEG;PET;SPECT;CT;Anatomical MRI;diffusion MRI,,,review,,,,no mention,lonely individuals vs non-lonely individuals,no,no,no,
25863527,White matter integrity in dementia with Lewy bodies: A Voxel-Based Analysis of Diffusion Tensor Imaging,humans,Healthy controls;Lewy Body Dementia;Alzheimer's disease,Diffusion Tensor Imaging;PET,,,single study,FA,,,decrease;increase,Dementia with Lewy bodies vs Alzheimer's disease;Alzheimer's disease vs healthy controls;Dementia with Lewy bodies vs healthy controls,yes,yes,yes,Lewy Body Dementia;Alzheimers Disease
29901746,Brain MRI fiber-tracking reveals white matter alterations in hypertensive patients without damage at conventional neuroimaging,humans,Hypertensive patients,diffusion MRI;Anatomical MRI,,,single study,,,,no mention,hypertensive patients without damage at conventional neuroimaging,no,yes,no,
30538047,MR approaches in neurodegenerative disorders,humans,Alzheimer's disease;Mild Cognitive Impairment;Dementia;neurodegenerative disease;Dementia with Lewy bodies,PET;diffusion MRI;MRS;Anatomical MRI,,,review,FA;MD,,univariate;artificial intelligence;deep learning;multivariate,decrease,Advanced Alzheimer's disease vs Mild Cognitive Impairment;Alzheimer's disease vs Dementia with Lewy bodies,no,no,yes,Mild Cognitive Impairment;Lewy Body Dementia;Alzheimers Disease;Dementia
25347157,"White Matter Integrity on DTI, Amyloid Load, and Neurodegeneration in Non-demented Elderly",humans,Mild cognitive impairment (MCI);Cognitively normal (CN),PET;diffusion MRI;Anatomical MRI,Fornix,,single study,FA,,correlation,decrease,Effects of Alzheimer\u2019s-related gray matter neurodegeneration and high beta-amyloid on white matter microstructure in non-demented older adults,yes,yes,no,Mild Cognitive Impairment;Alzheimers Disease
38091751,Neurite-based white matter alterations in MAPT mutation carriers: A multi-shell diffusion MRI study in the ALLFTD consortium,humans,asymptomatic carriers;symptomatic carriers;non-carrier family controls;MAPT mutation carriers,diffusion MRI;diffusion tensor imaging (DTI),Cingulum;Uncinate Fasciculus,,single study,FA;MD;NDI;ODI,,linear mixed-effects model;regression,decrease;increase,MAPT mutation carriers vs non-carrier family controls;asymptomatic carriers vs non-carrier family controls;symptomatic carriers vs non-carrier family controls;relationship between estimated time to/from disease onset and diffusion/NODDI metrics in carriers,yes,yes,no,
28338052,Dissociable diffusion MRI patterns of white matter microstructure and connectivity in Alzheimers disease spectrum,humans,Mild Cognitive Impairment;Subjective Cognitive Impairment;Alzheimer's disease,diffusion weighted MRI;diffusion MRI;DTI,Fornix;Uncinate Fasciculus;Corpus Callosum,,single study,FA;MD;AD;RD,,linked independent component analysis;classification,decrease;increase,Alzheimer's disease vs Mild Cognitive Impairment vs Subjective Cognitive Impairment,yes,yes,yes,Mild Cognitive Impairment;Dementia;Alzheimers Disease
38481124,Widespread White Matter Abnormalities in Concussed Athletes Detected by 7T Diffusion Magnetic Resonance Imaging,humans,Athletes with persistent post-concussive symptoms (PPCS);Healthy controls,7T MRI;DKI;DTI;Anatomical MRI;diffusion MRI,,,single study,FA;radial kurtosis;axial kurtosis;radial diffusivity,,correlation;group comparison,decrease;increase,Athletes with persistent post-concussive symptoms (PPCS) vs healthy controls,yes,yes,no,
34864664,Association of Superficial White Matter Alterations with Cerebrospinal Fluid Biomarkers and Cognitive Decline in Neurodegenerative Dementia,humans,non-AD neurodegenerative dementia;Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,,,single study,,,Spearman's correlation;Kruskal Wallis test,no mention,Alzheimer's disease vs Healthy controls;Association of SWM DTI measures with CSF biomarkers and cognitive decline;non-AD neurodegenerative dementia vs Healthy controls;Alzheimer's disease vs non-AD neurodegenerative dementia,yes,yes,yes,Dementia;Alzheimers Disease
23313563,Is there an association between peripheral immune markers and structuralfunctional neuroimaging findings?,monkeys;humans;mice,Cognitive impairment in older adults;Major depressive disorder;Schizophrenia;Alzheimer's disease,MR spectroscopy;Anatomical MRI,,,review,,,,no mention,"association between peripheral immune markers and structural/functional neuroimaging findings in major depressive disorder, cognitive impairment in older adults, Alzheimer's disease and schizophrenia",no,yes,yes,Alzheimers Disease
36641369,Adult lifespan maturation and degeneration patterns in gray and white matter: A mean apparent propagator (MAP) MRI study,humans,older adults;cognitively unimpaired participants,diffusion tensor imaging;diffusion MRI;MAP-MRI,Global,,single study,NG;PA,,,decrease,age-related differences in cognitively unimpaired participants;comparison between MAP-MRI and DTI metrics,yes,yes,no,
36692402,Peak Width of Skeletonized Mean Diffusivity: A Neuroimaging Marker for White Matter Injury,humans,Neurodegenerative disorders;Vascular Cognitive Impairment and Dementia;Cerebral Small Vessel Disease,susceptibility-weighted imaging;diffusion MRI;diffusion-tensor imaging;Anatomical MRI,,,review,MD,,,,PSMD utility for Vascular Cognitive Impairment and Dementia;PSMD in neurodegenerative disorders;PSMD as a marker for Cerebral Small Vessel Disease,yes,yes,yes,Vascular Cognitive Impairment and Dementia;Cerebral Small Vessel Disease;Dementia
30414086,Regional Amyloid-β Load and White Matter Abnormalities Contribute to Hypometabolism in Alzheimers Dementia,humans,Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,PET;diffusion MRI;Anatomical MRI,,,single study,FA,,voxel-based analysis;regression,decrease,Mild Cognitive Impairment vs controls;Association between regional amyloid-β deposition and white matter integrity in relation to glucose hypometabolism;Alzheimer's disease patients vs controls,yes,yes,yes,Mild Cognitive Impairment;Dementia;Alzheimers Disease
21219189,"Diffusion Imaging, White Matter, and Psychopathology",humans,,diffusion MRI,,,review,,,,,brain white matter changes across the human lifespan;DTI findings in neuropsychiatric disorders,yes,yes,no,
23404139,Relationship between cognitive impairment and white-matter alteration in Parkinsons disease with dementia: tract-based spatial statistics and tract-specific analysis,humans,Parkinson's disease with dementia;Healthy controls;Parkinson's disease,diffusion MRI,Corpus Callosum - Genu,,single study,FA;MD,,correlation;tract-based spatial statistics,decrease,Correlation between MMSE and FA in PD patients;PDD patients vs healthy controls;Relationship between cognitive impairment and white-matter alteration in Parkinson's disease;PDD patients vs PD patients,yes,yes,yes,Parkinson Disease;Parkinson'S Disease Dementia;Dementia
21092388,Pre-dementia Memory Impairment is Associated with White Matter Tract Affection,humans,non-amnestic MCI;amnestic MCI;less advanced MCI,diffusion MRI;Anatomical MRI,,,single study,RD;MD,,regression,decrease,relationship of memory performance and white matter diffusivity independent of cortical atrophy;amnestic MCI vs non-amnestic MCI,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
38757392,Alzheimers Disease and Small Vessel Disease Differentially Affect White Matter Microstructure,,Cerebral Small Vessel Disease;Alzheimers Disease,,,,,,,,,Alzheimers Disease vs Cerebral Small Vessel Disease effects on white matter microstructure,no,no,yes,Cerebral Small Vessel Disease;Alzheimers Disease
27104139,Linking white matter and deep gray matter alterations in premanifest Huntington disease,humans,premanifest Huntington disease with higher CAP-scores;premanifest Huntington disease,diffusion MRI;Anatomical MRI,,,single study,MD,,,decrease,Relationship between deep gray matter atrophy and white matter abnormalities in premanifest Huntington disease,yes,yes,no,
30703627,The longitudinal decline of white matter microstructural integrity in behavioral variant frontotemporal dementia and its association with executive function,humans,Healthy controls;Behavioral Variant Frontotemporal Dementia,diffusion MRI;DTI,Corona Radiata;Corpus Callosum,,single study,,,,decrease,use of DTI to track progression of bvFTD and associated executive function decline;behavioral variant frontotemporal dementia patients vs healthy controls,yes,yes,yes,Behavioral Variant Frontotemporal Dementia
35227709,Bilingual experience affects white matter integrity across the lifespan,humans,Monolinguals;Bilinguals,diffusion MRI;diffusion tensor imaging (DTI),Superior Longitudinal Fasciculus,,single study,FA,,generalized additive models;general linear models,decrease,effect of degree of bilingual engagement on age-related white matter decline;bilinguals vs monolinguals across the lifespan,yes,yes,no,
38744041,Limbic-predominant age-related TDP-43 encephalopathy neuropathological change (LATE-NC) is associated with abnormalities in white matter structural integrity and connectivity: An ex-vivo diffusion MRI and pathology investigation,humans,,diffusion MRI,,,single study,,,,no mention,Association between LATE-NC and white matter structural integrity and connectivity,no,yes,no,
38290851,Temporal Alterations in White Matter in An App Knock-In Mouse Model of Alzheimers Disease,mice,APPKI mice,diffusion MRI;DTI,,,single study,FA,,,decrease,Temporal changes in white matter across age in APPKI mice,yes,no,yes,Alzheimers Disease
29629498,Multifocal alterations of white matter accompany the transition from normal cognition to dementia in Parkinsons disease patients,humans,Parkinson's disease without dementia (PD-CTRL);Parkinson's disease with dementia (PDD);Parkinson's disease,Diffusion Tensor Imaging (DTI);diffusion MRI,Cingulum;body of corpus callosum;Corona Radiata;Corpus Callosum,,single study,FA;MD;AD;RD,,tract-based spatial statistics;regression,decrease,Parkinson's disease patients with dementia (PDD) vs Parkinson's disease patients without dementia (PD-CTRL),yes,yes,yes,Parkinson Disease;Parkinson'S Disease Dementia
18379765,Cerebral white matter damage in frontotemporal dementia assessed by diffusion tensor tractography,humans,Frontotemporal dementia;Healthy controls,Diffusion Tensor Imaging (DTI);diffusion MRI,Corpus Callosum - Genu;Pyramidal Tract;Arcuate Fasciculus;Uncinate Fasciculus;Corpus Callosum - Splenium;Inferior Longitudinal Fasciculus,,single study,FA,,,no significant difference;decrease,Frontotemporal dementia patients vs healthy controls,yes,yes,yes,Frontotemporal Dementia
38565289,Fixel-Based Analysis Reveals Tau-Related White Matter Changes in Early Stages of Alzheimers Disease,humans,Aβ-positive individuals;Mild Cognitive Impairment;Healthy controls,PET;diffusion kurtosis imaging (DKI);diffusion MRI;diffusion tensor imaging (DTI),Cingulum Bundle;Uncinate Fasciculus;Parahippocampal Cingulum;Anterior Thalamic Radiation,,single study,FD;FC,,correlation;group comparison,decrease,Aβ-positive patients with mild cognitive impairment vs control groups;association of white matter changes with tau pathology,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
25307581,Structural and microstructral imaging of the brain in alcohol use disorders,,Alcohol use disorders,,,,,,,,,Structural and microstructral imaging of the brain in alcohol use disorders,no,no,no,
18927145,Heterogeneity of white matter hyperintensities in Alzheimers disease: post-mortem quantitative MRI and neuropathology,humans,non-demented elderly;Alzheimer's disease,FLAIR;diffusion MRI;diffusion tensor imaging (DTI);T1-relaxation mapping,,,single study,FA;ADC,,group comparison;regression,decrease,Alzheimer's disease patients vs non-demented elderly;WMH vs normal appearing white matter (NAWM),yes,yes,yes,Alzheimers Disease
34435188,White matter abnormalities in active elite adult rugby players,humans,Longitudinal controls;Non-collision-sport athletic controls;Non-sporting controls;Elite rugby players,Susceptibility weighted imaging;Diffusion tensor imaging;Anatomical MRI,,,single study,FA,,,decrease,Relationship of exposure to rugby participation and sub-acute head injuries in elite rugby players vs controls;Longitudinal changes in brain structure of elite rugby players,yes,yes,no,
19233296,Characterization of White Matter Degeneration in Elderly Subjects by Magnetic Resonance Diffusion and FLAIR Imaging Correlation,humans,elderly subjects,FLAIR;Anatomical MRI;diffusion MRI;Diffusion Tensor Imaging (DTI),,,single study,FA;MD,,correlation;voxelwise analysis,no mention,FLAIR-detected white matter lesions vs DTI measures in elderly subjects,yes,yes,no,
29649488,Proteomics based identification of differential plasma proteins and changes in white matter integrity as markers in early detection of mild cognitive impaired subjects at high risk of Alzheimers disease,humans,Mild Cognitive Impairment;Healthy controls,diffusion tensor imaging (DTI),Fornix;Forceps Major;Corpus Callosum,,single study,FA;ADC,,,no mention,Mild Cognitive Impairment vs Healthy controls,yes,yes,yes,Prodromal Alzheimers Disease;Mild Cognitive Impairment;Alzheimers Disease
17444598,Diffusion tensor imaging of the brain in patients with Alzheimers disease and cerebrovascular lesions,humans,Healthy controls;Alzheimer's disease with cerebrovascular lesions;Alzheimer's disease,diffusion MRI;Anatomical MRI,,,single study,FA;MD,,correlation,decrease;increase,Alzheimer's disease vs Healthy controls;Alzheimer's disease with cerebrovascular lesions vs Healthy controls;Alzheimer's disease vs Alzheimer's disease with cerebrovascular lesions,yes,yes,yes,Alzheimers Disease
33328963,Acupuncture Improves White Matter Perfusion and Integrity in Rat Model of Vascular Dementia: An MRI-Based Imaging Study,rats,acupuncture-treated BCCAO rats;BCCAO rats,Diffusion Tensor Imaging;Arterial spin labeling,,,single study,FA;AD;RD,,correlation,decrease;increase,Effect of acupuncture on white matter perfusion and integrity in a rat model of vascular dementia;Acupuncture-treated BCCAO rats vs untreated BCCAO rats,yes,no,yes,Vascular Dementia
25076831,The Power of HybridFusion Imaging Metrics in Future PACS Systems: A Case Study into the White Matter Hyperintensity Prenumbra using FLAIR and Diffusion MR,,,diffusion MRI;FLAIR MRI,,,single study,,,,no mention,FLAIR vs Diffusion MRI for delineating inflamed versus scar tissue in WMH penumbra,no,no,no,
19441023,Executive Dysfunction and Periventricular Diffusion Tensor Changes in Amnesic Mild Cognitive Impairment and Early Alzheimers Disease,humans,Mild Cognitive Impairment;Healthy controls;Alzheimers Disease,diffusion MRI,Corpus Callosum - Genu;Superior Longitudinal Fasciculus,,single study,FA;MD,,,decrease;increase,association between executive function and DTI measures;amnesic Mild Cognitive Impairment vs Healthy controls;early Alzheimers disease vs Healthy controls,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
25518577,An official website of the United States government Heres how you know,humans,Cerebral atrophy;Idiopathic normal pressure hydrocephalus;Healthy controls,Diffusion Tensor Imaging;diffusion MRI,Cingulum;posterior cingulate;Superior Cerebellar Peduncle;Forceps Minor;Optic Radiation,,single study,FA,,region-of-interest analysis;tract-based spatial statistics,no mention,Idiopathic normal pressure hydrocephalus vs cerebral atrophy and controls,yes,yes,no,Idiopathic Normal Pressure Hydrocephalus
21624226,An official website of the United States government Heres how you know Controlled Clinical Trial . 2011 May;50(5):411-5,humans,Controls (no cognitive impairment);Vascular cognitive impairment (VCI);Subcortical Ischemic Vascular Disease (SIVD),diffusion MRI;MRS,,,single study,FA;ADC,,,decrease;increase,Vascular cognitive impairment (SIVD) patients vs controls (no cognitive impairment),yes,yes,yes,Cerebral Small Vessel Disease;Vascular Cognitive Impairment and Dementia
16434215,76-Space analysis of grey matter diffusivity: Methods and applications,humans,Healthy controls;Creutzfeldt-Jakob disease,diffusion tensor imaging;diffusion weighted MRI;Anatomical MRI,,,single study,ADC,,,,Creutzfeldt-Jakob disease patients vs Healthy controls,yes,yes,no,
29175203,Effects of bilingualism on white matter integrity in older adults,humans,bilinguals;monolinguals;healthy older adults,diffusion MRI;DTI,Superior Longitudinal Fasciculus,,single study,FA;AD;RD,,regression,increase,bilinguals vs monolinguals in older adults,yes,yes,no,
30101061,NeuroImage: Clinical,humans,older adults;amnestic mild cognitive impairment (aMCI),diffusion tensor imaging;diffusion MRI;fMRI,,,single study,,,correlation;moderation;mediation,no mention,Association between medial prefrontal cortex–amygdala functional and structural connectivity and external locus of control in older adults with aMCI,yes,yes,no,Mild Cognitive Impairment
39004653,White matter microstructural integrity as a key to effective propagation of gamma entrainment in humans,humans,Cognitively normal older adults,EEG;diffusion MRI,,,single study,,,linear regression,no mention,Influence of white matter microstructural integrity on gamma rhythm propagation from the visual cortex to AD-affected regions in cognitively normal older adults,yes,yes,no,
34950511,Diffusion tension imaging is a good tool for assessing patients with dementia and behavioral problems and discriminating them from other dementia patients,humans,Alzheimer's disease with behavioral symptoms;Alzheimer's disease,diffusion MRI;Anatomical MRI,,,single study,FA,,,increase,AD patients with behavioral symptoms vs AD patients,yes,yes,yes,Dementia;Alzheimers Disease
38669532,Impaired Glymphatic Flow on Diffusion Tensor MRI as a Marker of Neurodegeneration in Alzheimers Disease: Correlation with Gray Matter Volume Loss and Cognitive Decline Independent of Cerebral Amyloid Deposition,humans,Cognitively normal;Alzheimer's disease,PET;diffusion MRI;Anatomical MRI,,,single study,ALPS-index,,correlation;regression,decrease,"Alzheimer's patients vs cognitively normal controls (ALPS-index comparison);Association between ALPS-index and gray matter volume, cognitive status, and cerebral amyloid deposition",yes,yes,yes,Alzheimers Disease
27783100,Micro-structural white matter abnormalities in type 2 diabetic patients: a DTI study using TBSS analysis,humans,Healthy controls;Type 2 diabetes mellitus,diffusion MRI;DTI,Fornix;Cingulum;posterior thalamic radiation;Uncinate Fasciculus;Superior Longitudinal Fasciculus;Anterior Thalamic Radiation;Inferior Longitudinal Fasciculus,,single study,FA;MD;AD,,,decrease,Type 2 diabetes mellitus patients vs healthy controls;Relationship between Type 2 diabetes mellitus and Alzheimer's disease (comparison with published AD cases),yes,yes,no,
19938682,An official website of the United States government Heres how you know,humans,ALS with dementia (ALS-D);Amyotrophic lateral sclerosis (ALS),diffusion MRI;Anatomical MRI,,,review,FA;ADC,,voxel based morphometry;statistical imaging analysis,decrease;increase,Imaging findings in ALS with dementia (ALS-D);Imaging findings in Amyotrophic lateral sclerosis (ALS) patients,yes,yes,yes,Dementia
26252210,Microstructural White Matter Properties Mediate the Association between APOE and Perceptual Speed in Very Old Persons without Dementia,humans,very old persons without dementia;APOE ε4 carriers,diffusion MRI;DTI,Forceps Major;Corticospinal Tract,,single study,FA;MD,,mediation analysis;structural equation modeling,decrease;increase,Whether the association between APOE and perceptual speed is mediated by white matter microstructure in very old persons without dementia,yes,yes,no,
19547805,Binswangers disease and quantitative fractional anisotropy,humans,Binswanger's disease;Healthy controls,diffusion MRI;Anatomical MRI,,Functool,single study,FA,,,decrease,Binswanger's disease patients vs controls,yes,yes,yes,Binswanger'S Disease
