PMID,title,subjects,patient_groups,imaging_modalities,whitematter_tracts,analysis_software,study_type,diffusion_measures,template_space,results_method,white_integrity,question_of_study,DTI_study,Human_study,Dementia_study,Disease_study
28338052,Dissociable diffusion MRI patterns of white matter microstructure and connectivity in Alzheimers disease spectrum,humans,Mild Cognitive Impairment;Subjective Cognitive Impairment;Alzheimer's disease,diffusion MRI;DTI,Uncinate Fasciculi;Fornix;Corpus Callosum,linked independent component analysis (LICA),single study,FA;mean diffusivity,,,decrease,Alzheimer's disease vs Mild Cognitive Impairment vs Subjective Cognitive Impairment,yes,yes,yes,Alzheimers Disease
38481124,Widespread White Matter Abnormalities in Concussed Athletes Detected by 7T Diffusion Magnetic Resonance Imaging,humans,concussed athletes;controls,7T MRI;diffusion MRI,Global,,single study,DKI;FA;radial kurtosis;axial kurtosis;radial diffusivity,,,decrease;increase,concussed athletes vs controls,yes,yes,no,
34864664,Association of Superficial White Matter Alterations with Cerebrospinal Fluid Biomarkers and Cognitive Decline in Neurodegenerative Dementia,humans,non-AD neurodegenerative dementia;healthy controls;Alzheimer's disease,diffusion MRI;magnetic resonance images,Global,,single study,FA;MD,,Spearman's correlation;Kruskal Wallis,decrease,AD vs non-AD vs healthy controls,yes,yes,yes,Dementia;Alzheimers Disease
23313563,Is there an association between peripheral immune markers and structuralfunctional neuroimaging findings?,non-human primates;humans;mice,older adults with cognitive impairment;schizophrenia;major depressive disorder;Alzheimer's disease,MRI,,,review,,,,,association between immune markers and neuroimaging findings,no,yes,yes,Alzheimers Disease
36641369,Adult lifespan maturation and degeneration patterns in gray and white matter: A mean apparent propagator (MAP) MRI study,humans,cognitively unimpaired participants,diffusion MRI;mean apparent propagator (MAP) MRI,,,single study,propagator anisotropy (PA);non-Gaussianity (NG),,,,age-related cerebral differences,no,yes,no,
36692402,Peak Width of Skeletonized Mean Diffusivity: A Neuroimaging Marker for White Matter Injury,,,,,,review,,,,,,no,no,no,Vascular Cognitive Impairment and Dementia;Cerebral Small Vessel Disease
30414086,Regional Amyloid-β Load and White Matter Abnormalities Contribute to Hypometabolism in Alzheimers Dementia,humans,mild cognitive impairment;cognitively normal;Alzheimer's dementia,diffusion tensor imaging;PET;MRI,Angular Bundle,,single study,FA,,voxel-based interaction models,decrease,Amyloid-β deposition and white matter integrity effects on glucose hypometabolism in AD patients,yes,yes,yes,Alzheimers Disease
21219189,"Diffusion Imaging, White Matter, and Psychopathology",humans,,diffusion MRI;DTI,,,review,,,,,,yes,yes,no,
23404139,Relationship between cognitive impairment and white-matter alteration in Parkinsons disease with dementia: tract-based spatial statistics and tract-specific analysis,humans,Parkinson's disease with dementia;Healthy controls;Parkinson's disease,diffusion MRI,Corpus Callosum - Genu,,single study,FA;MD,,correlation,decrease,PDD patients vs controls,yes,yes,yes,Parkinson's Disease;Parkinson'S Disease Dementia
21092388,Pre-dementia Memory Impairment is Associated with White Matter Tract Affection,humans,non-amnestic MCI;amnestic MCI;less advanced MCI,diffusion MRI,Cingulum Bundle;Coronary Radiata,,single study,RD;MD,,,increase,amnestic MCI vs non-amnestic MCI,yes,yes,yes,Alzheimers Disease
38757392,Alzheimers Disease and Small Vessel Disease Differentially Affect White Matter Microstructure,,,,,,single study,,,,,,no,no,no,
27104139,Linking white matter and deep gray matter alterations in premanifest Huntington disease,humans,,Anatomical MRI,,,single study,MD,,,no mention,,yes,yes,yes,Huntington Disease
30703627,The longitudinal decline of white matter microstructural integrity in behavioral variant frontotemporal dementia and its association with executive function,humans,behavioral variant frontotemporal dementia;healthy controls,diffusion MRI,Anterior Corona Radiata;Corpus Callosum,,single study,,,,decrease,bvFTD patients vs healthy controls,yes,yes,yes,Frontotemporal Dementia
35227709,Bilingual experience affects white matter integrity across the lifespan,humans,monolingual;bilingual,diffusion MRI,Superior Longitudinal Fasciculus,,single study,FA,,generalized additive models;general linear models,decrease,bilingual vs monolingual,yes,yes,no,
38744041,Limbic-predominant age-related TDP-43 encephalopathy neuropathological change (LATE-NC) is associated with abnormalities in white matter structural integrity and connectivity: An ex-vivo diffusion MRI and pathology investigation,,,,,,single study,,,,,,no,no,no,
38290851,Temporal Alterations in White Matter in An App Knock-In Mouse Model of Alzheimers Disease,mice,,,,,single study,FA,,,,,no,no,no,
29629498,Multifocal alterations of white matter accompany the transition from normal cognition to dementia in Parkinsons disease patients,humans,Parkinson's disease without dementia;Parkinson's disease with dementia,diffusion MRI,corona radiata;body of corpus callosum;cingulum,,single study,FA;MD;AD;RD,,multiple regression,decrease,Parkinson's disease patients with dementia vs Parkinson's disease patients without dementia,yes,yes,yes,Parkinson Disease
18379765,Cerebral white matter damage in frontotemporal dementia assessed by diffusion tensor tractography,humans,Healthy controls;frontotemporal dementia,diffusion MRI,Corpus Callosum - Genu;Arcuate Fasciculus;Uncinate Fasciculus;Corpus Callosum - Splenium;Inferior Longitudinal Fasciculus,,single study,FA,,,decrease,frontotemporal dementia patients vs controls,yes,yes,yes,Frontotemporal Dementia
38565289,Fixel-Based Analysis Reveals Tau-Related White Matter Changes in Early Stages of Alzheimers Disease,humans,mild cognitive impairment;control groups;Alzheimer's disease,diffusion MRI;DKI;DTI,Cingulum Bundle;Uncinate Fasciculus;Anterior Thalamic Radiation,,single study,FD;FC,,correlation,decrease,Aβ-positive patients vs controls,yes,yes,yes,Alzheimers Disease
25307581,Structural and microstructral imaging of the brain in alcohol use disorders,,,,,,single study,,,,,,no,no,no,
18927145,Heterogeneity of white matter hyperintensities in Alzheimers disease: post-mortem quantitative MRI and neuropathology,humans,non-demented elderly;Alzheimer's disease,T2-weighted MRI;FLAIR;DTI,,,single study,FA;ADC,,regression,decrease,Alzheimer's disease patients vs non-demented controls,yes,yes,yes,Alzheimers Disease
34435188,White matter abnormalities in active elite adult rugby players,humans,elite rugby players;non-collision-sport athletic controls;non-sporting controls,diffusion tensor imaging;MRI,,,single study,FA,,Jacobian Determinant statistics,decrease,rugby players vs non-collision-sport athletic controls,yes,yes,no,
19233296,Characterization of White Matter Degeneration in Elderly Subjects by Magnetic Resonance Diffusion and FLAIR Imaging Correlation,humans,,FLAIR;diffusion MRI,,,single study,FA;MD,,correlation,,,yes,yes,no,
29649488,Proteomics based identification of differential plasma proteins and changes in white matter integrity as markers in early detection of mild cognitive impaired subjects at high risk of Alzheimers disease,humans,Mild Cognitive Impairment;Healthy controls,diffusion MRI,Fornix;Forceps Major;Corpus Callosum,,single study,FA;ADC,,,decrease,MCI vs Healthy controls,yes,yes,no,Prodromal Alzheimers Disease
17444598,Diffusion tensor imaging of the brain in patients with Alzheimers disease and cerebrovascular lesions,humans,normal controls;ADV patients;Alzheimer's disease,diffusion MRI,Cingulum;Cingulate Cingulum,,single study,FA;D,,correlation,decrease,ADV patients vs controls;AD patients vs ADV patients;AD patients vs controls,yes,yes,yes,Alzheimers Disease
33328963,Acupuncture Improves White Matter Perfusion and Integrity in Rat Model of Vascular Dementia: An MRI-Based Imaging Study,rats,,diffusion MRI,,,single study,FA;AD;RD,,,,,yes,no,no,
25076831,The Power of HybridFusion Imaging Metrics in Future PACS Systems: A Case Study into the White Matter Hyperintensity Prenumbra using FLAIR and Diffusion MR,humans,,FLAIR;Diffusion MRI,,,single study,,,,,WMH tissue inflammation vs scar tissue,no,yes,no,
19441023,Executive Dysfunction and Periventricular Diffusion Tensor Changes in Amnesic Mild Cognitive Impairment and Early Alzheimers Disease,humans,Healthy controls;amnesic mild cognitive impairment;early Alzheimer's disease,diffusion tensor imaging,frontal PVWM;parietal PVWM;left frontal periventricular white matter;Corpus Callosum,,single study,FA;MD,,,decrease;increase,aMCI and early AD vs controls,yes,yes,yes,Alzheimers Disease
25518577,An official website of the United States government Heres how you know,humans,idiopathic normal pressure hydrocephalus;controls;cerebral atrophy,diffusion MRI,Cingulum;Posterior Cingulate;Forceps Minor;Optic Radiation,Tract-Based Spatial Statistics,single study,FA,,ANOVA,no mention,hydrocephalus patients vs cerebral atrophy and controls,yes,yes,no,Idiopathic Normal Pressure Hydrocephalus
21624226,An official website of the United States government Heres how you know Controlled Clinical Trial . 2011 May;50(5):411-5,humans,control group;vascular cognitive impairment,diffusion MRI,Global,,single study,FA;ADC,,,decrease,VCI patients vs controls,yes,yes,no,Cerebral Small Vessel Disease
16434215,76-Space analysis of grey matter diffusivity: Methods and applications,humans,patients with Creutzfeldt-Jakob disease;normal volunteers,diffusion tensor imaging;diffusion weighted MRI,,,single study,ADC,,,,,yes,yes,yes,Creutzfeldt-Jakob disease;Alzheimers Disease
29175203,Effects of bilingualism on white matter integrity in older adults,humans,bilinguals;monolinguals,diffusion MRI,Superior Longitudinal Fasciculus,,single study,FA;AD;RD,,,increase,bilinguals vs monolinguals,yes,yes,no,
30101061,NeuroImage: Clinical,humans,amnestic mild cognitive impairment,diffusion MRI;fMRI,,,single study,,,,,older adults with amnestic mild cognitive impairment,yes,yes,no,
39004653,White matter microstructural integrity as a key to effective propagation of gamma entrainment in humans,humans,cognitively normal volunteers,diffusion tensor imaging,Cingulum Bundle;Inferior Longitudinal Fasciculus;Corpus Callosum,,single study,,,linear regression,increase,white matter integrity effect on gamma propagation,yes,yes,no,
34950511,Diffusion tension imaging is a good tool for assessing patients with dementia and behavioral problems and discriminating them from other dementia patients,humans,Alzheimer's disease with behavioral symptoms;Alzheimer's disease,DTI;MRI,frontal lobes,,single study,FA,,t-test,increase,Alzheimer's patients with behavioral symptoms vs Alzheimer's patients,yes,yes,yes,Alzheimers Disease
38669532,Impaired Glymphatic Flow on Diffusion Tensor MRI as a Marker of Neurodegeneration in Alzheimers Disease: Correlation with Gray Matter Volume Loss and Cognitive Decline Independent of Cerebral Amyloid Deposition,humans,Cognitively normal controls;Alzheimer's disease,diffusion MRI;MRI,,,single study,,,correlation,decrease,Alzheimer's disease patients vs cognitively normal controls,yes,yes,yes,Alzheimers Disease
27783100,Micro-structural white matter abnormalities in type 2 diabetic patients: a DTI study using TBSS analysis,humans,type 2 diabetes mellitus;healthy controls,diffusion MRI;DTI,Cingulum;Posterior Thalamic Radiation;Superior Longitudinal Fasciculus;Forinix;Anterior Thalamic Radiation;Inferior Longitudinal Fasciculus;Right Uncinate Fasciculus,TBSS,single study,FA;DA;MD,,,decrease,type 2 diabetes patients vs controls,yes,yes,no,
19938682,An official website of the United States government Heres how you know,humans,amyotrophic lateral sclerosis;amyotrophic lateral sclerosis with dementia,diffusion tensor imaging;magnetic resonance imaging,Uncinate Fasciculus;Corticospinal Tract;Corpus Callosum,,review,FA;ADC,,statistical analysis,decrease,ALS patients vs ALS-D patients,yes,yes,yes,Dementia
26252210,Microstructural White Matter Properties Mediate the Association between APOE and Perceptual Speed in Very Old Persons without Dementia,humans,,diffusion MRI;DTI,Forceps Major;Corticospinal Tract,,single study,FA;MD,,structural equation modeling,decrease,APOE carriers vs non-carriers in relation to perceptual speed,yes,yes,no,
19547805,Binswangers disease and quantitative fractional anisotropy,humans,Binswanger's Disease;Healthy controls,diffusion MRI;Anatomical MRI,,Functool,single study,FA,,t-test,decrease,Binswanger's Disease patients vs controls,yes,yes,yes,Binswanger'S Disease
35579236,Global changes in diffusion tensor imaging during acute ischemic stroke and post-stroke cognitive performance,humans,patients with stroke;TIA patients,diffusion MRI,,,single study,FA;FW;MD,,correlation,increase,stroke patients cognitive performance predictions,yes,yes,no,
33263494,The role of diffusion tensor imaging in idiopathic normal pressure hydrocephalus: A literature review,,idiopathic normal pressure hydrocephalus;Parkinson disease;Alzheimer's disease,diffusion MRI,,,review,,,,,,no,no,no,Dementia
38463962,Lifespan reference curves for harmonizing multi-site regional brain white matter metrics from diffusion MRI,humans,,diffusion weighted MRI;diffusion MRI,,ENIGMA-DTI,single study,FA,,association,no mention,ApoE4 risk factor effects on WM,yes,yes,no,
38433018,SPAK inhibitor ZT-1a attenuates reactive astrogliosis and oligodendrocyte degeneration in a mouse model of vascular dementia,mice,,,,,single study,,,,,,no,no,no,
22669012,An official website of the United States government Heres how you know,humans,Alzheimer's disease,diffusion tensor MRI;MRI,,,single study,,,,,characterization of genetic contributions to the neuropathology of AD,yes,yes,yes,Alzheimers Disease
28045213,Longitudinal Diffusion Changes in Prodromal and Early HD: Evidence of White-Matter Tract Deterioration,humans,Huntington's disease;Healthy controls,diffusion weighted MRI,,,single study,,,,,,no,yes,no,Dementia
19730350,Frontostriatal fiber bundle compromise in HIV infection without dementia,humans,HIV infection;Healthy controls,diffusion MRI,Fornix;Inferior Cingulate Bundle;Superior Longitudinal Fasciculus;Corpus Callosum;Superior Cingulate Bundle;Occipital Forceps,,single study,FA;λ T;λ L,,,increase,HIV-infected individuals vs healthy controls,yes,yes,no,
38108353,Interaction Between a High-Fat Diet and Tau Pathology in Mice: Implications for Alzheimers Disease,mice,,diffusion tensor imaging;fMRI,,,single study,,,,,,no,no,no,
24706734,The Corticospinal Tract in Huntingtons Disease,humans,Huntington's disease;Pre-HD subjects;control subjects,diffusion MRI;MRI,Corticospinal Tract,,single study,FA;AD;RD,,,decrease,Pre-HD subjects vs HD patients vs control subjects,yes,yes,no,Dementia
28336929,Developmental Whole Brain White Matter Alterations in Transgenic Huntingtons Disease Monkey,monkeys,,diffusion tensor imaging,,,single study,,,,,,yes,no,no,
32383552,Genetic risk for Alzheimer disease in children: Evidence from early-life IQ and brain white-matter microstructure,humans,,diffusion tensor imaging,Global,,single study,FA,,,decrease,genetic risk for late-onset AD and its relation to IQ and white-matter microstructure,yes,yes,no,Alzheimers Disease
24109737,,humans,healthy individuals;dementia patients,diffusion MRI;Proton MR Spectroscopy,Fornix;Uncinate Fasciculus,,single study,DTI,,correlation,,DTI parameters of uncinate fasciculus and fornix in dementia patients vs healthy individuals,yes,yes,yes,Dementia
26756590,Longitudinal Diffusion Tensor Imaging Shows Progressive Changes in White Matter in Huntingtons Disease,humans,Huntington's disease;Healthy controls,diffusion MRI,Corona Radiata;Anterior Limb Of Internal Capsule;Corpus Callosum,,single study,FA;AD;RD,,,decrease,Huntington's disease patients vs controls,yes,yes,no,Dementia
28266655,Intact sensory-motor network structure and function in far from onset premanifest Huntingtons disease,humans,premanifest Huntington's disease;healthy controls,diffusion tensor imaging;structural MRI;resting-state functional MRI,,,single study,,,,no mention,premanifest Huntington's disease vs healthy controls,yes,yes,no,Huntington's disease
19332141,In vivo evidence for the selective subcortical degeneration in Huntingtons disease,humans,Huntington's disease,diffusion MRI,striatopallidal,,single study,FA;MD,,,increase,Huntington's disease degeneration,yes,yes,no,Huntington's disease
19850138,Altered White Matter Microstructure in the Corpus Callosum in Huntingtons Disease: implications for cortical disconnection,humans,huntingtin gene-carriers;Huntington's disease;symptomatic HD subjects;healthy controls,diffusion MRI;Anatomical MRI,Corpus Callosum,,single study,FA;axial diffusivity;radial diffusivity,,,,pre-manifest subjects vs early symptomatic HD subjects,yes,yes,no,
19320010,Longitudinal Diffusion Tensor Imaging in Huntingtons Disease,humans,Huntington's disease;Healthy controls,diffusion MRI,,,single study,FA;AD;RD,,,decrease,Huntington's disease patients vs controls,yes,yes,no,Huntington's Disease
18056161,White matter connections reflect changes in voluntary-guided saccades in pre-symptomatic Huntingtons disease,humans,matched controls;pre-symptomatic gene carriers,diffusion MRI,body of corpus callosum,,single study,FA,,correlation,decrease,pre-symptomatic carriers vs controls,yes,yes,no,Huntingtons disease
21264990,Early Changes in White Matter Pathways of the Sensorimotor Cortex in Premanifest Huntingtons Disease,humans,early stage HD group;healthy control groups;premanifest gene carrier group,diffusion MRI,Corpus Callosum,,single study,ADC,,correlation,increase,premanifest gene carriers vs controls,yes,yes,no,Huntingtons Disease
24019913,Tractography of the Corpus Callosum in Huntingtons Disease,humans,Huntington's disease patients;presymptomatic Huntington's disease;healthy controls,DTI;MRI,Corpus Callosum,TrackVis,single study,FA;RD,,,decrease,HD patients vs controls;presymptomatic HD vs controls,yes,yes,no,
20488902,Regional Distribution and Clinical Correlates of White Matter Structural Damage in Huntington Disease: A Tract-Based Spatial Statistics Study,humans,Huntington disease;Healthy controls,T1-weighted images;DTI,Corona Radiata;Inferior Fronto-Occipital Fasciculus;Corpus Callosum;Internal Capsule;Inferior Longitudinal Fasciculus,,single study,FA;MD,,,decrease,Huntington disease patients vs controls,yes,yes,no,
16755582,Diffusion Tensor Imaging in Presymptomatic and Early Huntingtons Disease: Selective White Matter Pathology and Its Relationship to Clinical Measures,humans,Huntington's disease;Pre-HD;Healthy controls,diffusion MRI;DTI,Internal Capsule;Corpus Callosum,,single study,,,t-test,decrease,Huntington's disease vs Healthy controls;Pre-HD vs Healthy controls,yes,yes,no,Dementia
15589514,Detection of age-dependent brain injury in a mouse model of brain amyloidosis associated with Alzheimers disease using magnetic resonance diffusion tensor imaging,mice,,magnetic resonance diffusion tensor imaging,,,single study,,,,,,yes,no,no,Alzheimers Disease
30771034,Detection of axonal degeneration in a mouse model of Huntingtons disease: comparison between diffusion tensor imaging and anomalous diffusion metrics,mice,,,,,review,,,,,,no,no,no,
33765430,Neurobiology of Aging,mice,,diffusion tensor imaging;neurite orientation dispersion and density imaging;diffusion MRI;Ultra-High Field Diffusion MRI,,,single study,FA;ICVF;IsoVF;ODI,,,decrease,,no,no,no,
15056472,Diffusion tensor imaging detects age-dependent white matter changes in a transgenic mouse model with amyloid deposition,mice,,diffusion MRI,,,single study,,,,,,yes,no,no,
29545212,"T 1 , diffusion tensor, and quantitative magnetization transfer imaging of the hippocampus in an Alzheimers disease mouse model",mice,,,,,single study,,,,,,no,no,no,
23877934,Voxel-Based Diffusion Tensor Imaging of an APPPS1 Mouse Model of Alzheimers Disease,mice,,,,,single study,FA;DA;MD;RD,,,,,no,no,no,Alzheimers Disease
31472250,Neurite Orientation Dispersion and Density Imaging Reveals White Matter and Hippocampal Microstructure Changes Produced by Interleukin-6 in the TgCRND8 Mouse Model of Amyloidosis,mice,,diffusion MRI;dMRI,,,single study,,,,,,no,no,no,
30077647,"Multifaceted assessment of the APPPS1 mouse model for Alzheimers disease: Applying MRS, DTI, and ASL",mice,,,,,single study,,,,,,no,no,no,
33975312,Diffusion Tensor Imaging Reveals Whole-Brain Microstructural Changes in the P301L Mouse Model of Tauopathy,mice,,,,SPM,single study,FA;MD;AD;RD,,,,,yes,no,no,
34455171,"Grip training improves handgrip strength, cognition, and brain white matter in minor acute ischemic stroke patients",humans,acute mild ischemic stroke,diffusion MRI,,,single study,,,,,grip training effects on cognition in stroke patients,yes,yes,no,
31705427,Predictors of Lesion Cavitation After Recent Small Subcortical Stroke,humans,,T2-weighted MRI;FLAIR;T1-weighted MRI;diffusion MRI,,,single study,FA;MD,,,,,yes,yes,no,Cerebral Small Vessel Disease
37808483,Di usion tensor free water MRI predicts progression of FLAIR white matter hyperintensities after ischemic stroke,humans,participants following ischemic stroke,diffusion MRI,,,single study,FA;FW;MD,,logistic regression,increase,baseline DTI metrics predicting WMH progression,yes,yes,no,Cerebral Small Vessel Disease
39170078,Longitudinal assessment of glymphatic changes following mild traumatic brain injury: Insights from perivascular space burden and DTI-ALPS imaging,humans,orthopedic patients;patients with mTBI;healthy individuals,Diffusion Tensor Imaging,,,single study,,,,,mTBI patients vs controls,yes,yes,no,
37533476,"Association between intracranial vessel calcifications, structural brain damage, and cognitive impairment after minor strokes: a prospective study",humans,,non-contrast CT;MRI,,,single study,DTI,,multivariate analysis,decrease,high ICCS group vs low ICCS group regarding PSCI,yes,yes,no,
37654137,,,,,,,,,,,,,no,no,no,
