Area,Age for Maximum FA (month) (Mean ± SD),Age for Maximum FA (month) (Mean ± SD),Age for Maximum FA (month) (Mean ± SD),Age for Minimum MD (month) (Mean ± SD),Age for Minimum MD (month) (Mean ± SD),Age for Minimum MD (month) (Mean ± SD),Age for Minimum Da (month) (Mean ± SD),Age for Minimum Da (month) (Mean ± SD),Age for Minimum Da (month) (Mean ± SD),Age for Minimum Dr (month) (Mean ± SD),Age for Minimum Dr (month) (Mean ± SD),Age for Minimum Dr (month) (Mean ± SD)
SS,49.4 ± 3.2,21.5 ± 1.8,<0.001,48.0 ± 11.8,20.5 ± 0.9,0.009,47.4 ± 4.4,21.4 ± 4.4,0.001,48.8 ± 5.6,20.9 ± 0.8,<0.001
dOB,44.5 ± 2.5,22.5 ± 1.0,<0.001,43.9 ± 10.3,21.9 ± 0.5,0.02,43.6 ± 3.7,22.5 ± 1.1,<0.001,42.3 ± 3.0,21.7 ± 0.9,<0.001
EmC,81.5 ± 10.6,32.0 ± 6.1,0.001,79.6 ± 3.6,32.6 ± 1.9,<0.001,79.0 ± 6.0,33.1 ± 0.6,<0.001,80.3 ± 11.4,31.1 ± 1.5,0.001
EC,51.4 ± 2.7,19.1 ± 2.3,<0.001,51.0 ± 2.2,19.0 ± 1.6,<0.001,52.7 ± 1.5,18.6 ± 2.3,<0.001,50.9 ± 2.5,19.6 ± 2.1,<0.001
FX,38.9 ± 3.2,27.7 ± 1.8,0.002,37.7 ± 3.8,27.5 ± 2.2,0.001,39.0 ± 3.7,26.3 ± 1.5,0.003,38.5 ± 3.0,27.4 ± 1.2,0.002
ILF,45.9 ± 1.4,23.0 ± 2.0,<0.001,45.2 ± 2.6,22.8 ± 1.7,<0.001,44.7 ± 3.1,23.0 ± 0.7,<0.001,46.1 ± 2.2,22.6 ± 1.7,<0.001
SLF Im,47.3 ± 3.0,19.2 ± 0.5,<0.001,47.8 ± 2.6,18.2 ± 1.1,<0.001,49.6 ± 9.7,17.8 ± 1.9,0.003,45.2 ± 3.7,18.9 ± 1.5,<0.001
SLF Ip,39.9 ± 1.0,28.4 ± 0.9,<0.001,40.2 ± 3.8,28.4 ± 1.7,<0.001,38.6 ± 5.6,26.7 ± 1.9,0.02,39.7 ± 3.4,29.0 ± 1.9,0.005
SLF IIa,57.8 ± 2.0,18.7 ± 0.8,<0.001,57.2 ± 2.7,19.8 ± 1.1,<0.001,58.9 ± 7.2,18.9 ± 2.4,<0.001,58.4 ± 3.0,19.1 ± 0.9,<0.001
SLF IIm,42.3 ± 1.7,20.0 ± 0.8,<0.001,41.3 ± 2.2,21.4 ± 1.2,<0.001,42.8 ± 3.8,20.6 ± 1.0,<0.001,42.2 ± 2.3,21.0 ± 1.9,<0.001
SLF IIp,38.1 ± 2.7,27.5 ± 1.3,0.001,37.0 ± 3.6,26.8 ± 1.5,0.001,37.0 ± 3.2,25.9 ± 0.8,0.002,38.6 ± 3.2,27.7 ± 1.1,0.003
SLF III,39.5 ± 2.6,18.2 ± 0.6,<0.001,37.9 ± 2.8,17.3 ± 1.3,0.03,38.4 ± 3.5,17.9 ± 3.0,<0.001,38.9 ± 1.4,18.9 ± 1.8,0.001
