pmcid,table_id,table_label,table_caption,table_foot,n_header_rows,table_data_file
8258736,Tab3,Table 3,Other studies.,"AD Alzheimer’s Disease, CENA Chicago Electrical Neuroimaging Analytics, CG control group, dlPFC dorsal lateral prefrontal cortex, EEG electroencephalogram, ERP event-related potential, HC healthy control, HL high loneliness, LL low loneliness, NG nostalgic group, NS not stated, PET positron emission tomography, SHI severe hearing impairment, SPECT single-photon emission computed tomography, RNA ribonucleic acid, UCLA-LS University of California Los Angeles Loneliness Scale.",1,articles/d4a/pmcid_8258736/tables/table_002.csv
3669206,pone-0064925-t001,Table 1,Demographic data and MMSE of the subjects.,"1not significantly different between groups, χ2 (1) = 1.5, p = 0.22.2significantly different between groups, t (278) = 3.92, p<0.001.3significantly different between groups, Mann-Whitney U = 263, p<0.001.4significantly different between groups, t (271) = −6.7, p<0.001.Abbreviations: SD, standard deviation; MMSE, mini-mental state examination; AD, Alzheimer’s disease.",1,articles/0c3/pmcid_3669206/tables/table_000.csv
3669206,pone-0064925-t002,Table 2,Scan parameters for DTI and number of subjects per scanner.,"Abbreviations: TR, repetition time; TE, echo time; iPAT, integrated parallel imaging techniques; AD, Alzheimer’s disease.",1,articles/0c3/pmcid_3669206/tables/table_001.csv
3669206,pone-0064925-t003,Table 3,SVM classification results for the original and PCA variance reduced data (pooled cross-validation).,"For each modality the average number of informative voxels is provided and in parentheses the proportion compared to the respective tissue masks is presented. In the last column the removed variance proportion is given.Abbreviations: FA, fractional anisotropy; MD, mean diffusivity; WMD, white matter density; GMD, gray matter density.",1,articles/0c3/pmcid_3669206/tables/table_002.csv
3669206,pone-0064925-t004,Table 4,Cross-validation results using the data of each scanner as fold.,"For each modality the average number of informative voxels is provided and in parentheses the proportion compared to the respective tissue masks is presented.Abbreviations: FA, fractional anisotropy; MD, mean diffusivity; WMD, white matter density; GMD, gray matter density; ML, machine learning; SVM, Support Vector Machine; NB, Naïve Bayes.",1,articles/0c3/pmcid_3669206/tables/table_003.csv
3669206,pone-0064925-t005,Table 5,NB classification results for the original and PCA variance reduced data (pooled cross-validation).,"Abbreviations: FA, fractional anisotropy; MD, mean diffusivity; WMD, white matter density; GMD, gray matter density.",1,articles/0c3/pmcid_3669206/tables/table_004.csv
3669206,pone-0064925-t006,Table 6,Anatomic areas of the twenty most informative voxels derived from the averaged SVM sensitivity maps for FA.,"These points were restricted to be at least 10.5 mm distant from each other. The coordinates given are in MNI space. For easier interpretation, we first applied the natural logarithm to the sensitivity values and then rescaled them to be between zero and one.Abbreviations: WM, white matter; L, left hemisphere; R, right hemisphere.",2,articles/0c3/pmcid_3669206/tables/table_005.csv
3669206,pone-0064925-t007,Table 7,Anatomic areas of the twenty most informative voxels derived from the averaged SVM sensitivity maps for MD.,"These points were restricted to be at least 10.5 mm distant from each other. The coordinates given are in MNI space. For easier interpretation, we first applied the natural logarithm to the sensitivity values and then rescaled them to be between zero and one.Abbreviations: WM, white matter; L, left hemisphere; R, right hemisphere.",2,articles/0c3/pmcid_3669206/tables/table_006.csv
3669206,pone-0064925-t008,Table 8,Anatomic areas of the twenty most informative voxels derived from the averaged SVM sensitivity maps for WMD.,"These points were restricted to be at least 10.5 mm distant from each other. The coordinates given are in MNI space. For easier interpretation, we first applied the natural logarithm to the sensitivity values and then rescaled them to be between zero and one.Abbreviations: WM, white matter; L, left hemisphere; R, right hemisphere.",2,articles/0c3/pmcid_3669206/tables/table_007.csv
3669206,pone-0064925-t009,Table 9,Anatomic areas of the twenty most informative voxels derived from the averaged SVM sensitivity maps for GMD.,"These points were restricted to be at least 10.5 mm distant from each other. The coordinates given are in MNI space. For easier interpretation, we first applied the natural logarithm to the sensitivity values and then rescaled them to be between zero and one.Abbreviations: L, left hemisphere; R, right hemisphere.",2,articles/0c3/pmcid_3669206/tables/table_008.csv
7683078,jad-78-jad200423-t001,Table 1,Characteristics of the intervention and control groups in the DTI population,"Values are means (SD) unless otherwise specified; BMI, body mass index; MRI, magnetic resonance imaging; NTB, neuropsychological test battery.",2,articles/caf/pmcid_7683078/tables/table_000.csv
7683078,jad-78-jad200423-t002,Table 2,"Primary and secondary cognitive end points from baseline to 2-years, DTI population","Mixed-model repeated-measures analyses were used to assess between-group differences (group×time interaction) in the changes from baseline to 24 months based. Scores on the NTB total score and memory, executive functioning and processing speed domain scores are estimated mean values (standard errors) of z scores of the cognitive tests included in each cognitive outcome with higher scores indicating better performance. A positive value of the estimate of the between-group differences indicates the effect is in favor of the intervention group.",2,articles/caf/pmcid_7683078/tables/table_001.csv
4418835,pone.0126310.t001,Table 1,Demographic information and neuropsychological test scores.,"Data are presented as mean ± std. p-value indicates the significance of the difference among the three study cohorts (one-way ANOVA). Abbreviations: CDR, Clinical Dementia Rating; MMSE, Mini-Mental State Examination; MoCA, Montreal Cognitive Assessment; CDT, Clock Drawing Task; ADL, Activity of Daily Living Scale; HAMD, Hamilton Depression Scale; HIS, Hachinski Ischemic Score.",1,articles/161/pmcid_4418835/tables/table_000.csv
4418835,pone.0126310.t002,Table 2,"VMHC differences between AD, MCI and CN.","ANOVA, uncorrected, p < 0.01, extent threshold = 97. Coordinates are given in the left-posterior-inferior system. For the symmetric results, only the left side structures are listed. Abbreviations: MNI, Montreal Neurological Institute space; x, y, z, coordinates of cluster locations in the MNI space; OFC, orbitofrontal cortex; ACC, anterior cingulate cortex; NAcc, nucleus accumbens; POC, primary olfactory cortex; SMC, sensorimotor cortex; OcG, occipital gyrus.",2,articles/161/pmcid_4418835/tables/table_001.csv
4418835,pone.0126310.t003,Table 3,"Correlation between diffusion parameters, volume of the genu of corpus callosum, VMHC, and MMSE scores of all the subjects.","The values in the table are the correlation coefficients and corresponding p-values (partial correlation with age effect corrected).*, p ≤ 0.05;**, p ≤ 0.01;***, p ≤ 0.001.Abbreviations: FA, fractional anisotropy; MD, mean diffusivity (×10–3 mm2/s); λ‖, axial diffusivity (×10–3 mm2/s); λ┴, radial diffusion (×10–3 mm2/s); VMHC, voxel mirror homotopic connectivity; OFC, orbitofrontal cortex; ACC, anterior cingulate cortex; NAcc, nucleus accumbens; SMC, sensorimotor cortex; OcG, occipital gyrus.",1,articles/161/pmcid_4418835/tables/table_002.csv
5428287,Tab1,Table 1,Group difference in age for the minimum/maximum DTI-derived measures based on analysis of the Poisson model and TBSS.,These data were tested as significant group difference with independent t-test using FDR correction with q value 0.05. SD: standard derivation. FA: fractional anisotropy; MD: mean diffusivity; Da: axial diffusivity; Dr: Radial diffusivity.,2,articles/8f5/pmcid_5428287/tables/table_000.csv
5428287,Tab2,Table 2,Group difference in the minimum/maximum DTI-derived measures based on analysis of the Poisson model and TBSS.,These data were tested as significant group difference with independent t-test using FDR correction with q value 0.05 (*). SD: standard derivation. FA: fractional anisotropy; MD: mean diffusivity; Da: axial diffusivity; Dr: Radial diffusivity.,2,articles/8f5/pmcid_5428287/tables/table_001.csv
5428287,Tab3,Table 3,FA group difference at ages from 6 to 24 months.,The data were tested with a two-way ANOVA and post-hoc analysis with significant level of p < 0.05 (*). SD: standard derivation. FA: fractional anisotropy.,2,articles/8f5/pmcid_5428287/tables/table_002.csv
5428287,Tab4,Table 4,FA group difference at ages from 30 to 48 months.,The data were tested with a two-way ANOVA and post-hoc analysis with significant level of p < 0.05 (*). SD: standard derivation. FA: fractional anisotropy.,2,articles/8f5/pmcid_5428287/tables/table_003.csv
10481508,Tab1,Table 1,"CSF parameters of PMS patients. Data including white cell count/µl, total protein in mg/dl, lactate in mmol/l, intrathecal IgG synthesis, oligoclonal bands, tau protein in pg/ml (reference range < 400 pg/mL), amyloid-ß in pg/ml (reference range > 600 pg/mL), CXCL13 in pg/ml, pNF-H in pg/ml, amyloid-ß 42/40, p-Tau 181 in pg/ml","Abbreviations: OCB = oligoclonal bands, Aß = amyloid-ß, CXCL13 = C-X-C motif chemokine 13, pNF-H = neurofilament heavy chain",1,articles/19c/pmcid_10481508/tables/table_000.csv
10481508,Tab2,Table 2,Association clusters of proteins amyloid-β and tau and FA,,1,articles/19c/pmcid_10481508/tables/table_001.csv
10481508,Tab4,Table 4,"clinical data of PMS patients including age, genetic findings, and stage of development","Abbreviations: ASD = autism spectrum disorder, ASHD = attention deficit hyperactivity disease, * = this patient is PMS-SHANK3 unrelated",1,articles/19c/pmcid_10481508/tables/table_003.csv
4240303,awu298-T1,Table 1,Demographics of the healthy control and sporadic CJD cohorta,"aSee text for demographics on controls subjects.bAll but one subject with sporadic CJD ruled out for genetic prion disease by PRNP analysis; this subject was not path-proven, but had no family history of neuropsychiatric disorder and presented clinically like sporadic CJD.cOne subject with codon 129 data, but no prion typing on western blot available, was called MM 1 based on the histopathology autopsy findings. Percentages might not add exactly due to rounding.— = not relevant; N/A = data not available; M = methionine; V = valine. ± refers to standard deviation (SD). Previously published and used with permission (Caverzasi et al., 2014).",1,articles/798/pmcid_4240303/tables/table_000.csv
4240303,awu298-T2,Table 2,Cross-sectional analysis of DTI metrics in the subcortical white matter volumes of interest in patients with sporadic CJD compared with control subjects after multi-comparison correction (FDR),"Mean diffusivity, axial and radial diffusivity values are reported in mm2/s × 10−3 at a lobar level as average ± SD for both control and sporadic CJD groups. The significance is reported as ***P < 0.001, **P < 0.01, *P < 0.05, (*) trend with P < 0.1, with sporadic CJD DTI metrics reduced versus controls. NS = non-significant; MD = mean diffusivity; FA = fractional anisotropy; AD = axial diffusivity; RD = radial diffusivity. No DTI metrics were increased in any volumes of interest in sporadic CJD.",2,articles/798/pmcid_4240303/tables/table_001.csv
4240303,awu298-T3,Table 3,White matter histopathology ratings in three brain regions in six subjects with sporadic CJD with available pathology,"Subjects are listed based on the time interval between MRI and death. PrPSc deposition, gliosis and vacuolation are reported as % of area involved. For gliosis and PrPSc deposition a rate of involvement was performed (0 = none; 1 = mild; 2 = moderate; 3 = severe). Scores in between two ordinals were graded with ‘0.5’; PrPSc deposition was also described as fine or course. Subjects 5 was the single case considered to have PrPSc in the white matter.* Subject 12, as parietal tissue was not available for all immunohistochemistry, superior temporal was used instead.# Second time point MRI.",2,articles/798/pmcid_4240303/tables/table_002.csv
11656998,TAB1,Table 1,"Mean and standard deviation for the volume, FA, and MD of the 10 white matter tracts examined in men aged 18-50 years.Non-parametric tests (Kruskal-Wallis test) and chi-square tests were used for group comparisons. The 10 white matter tracts are IFOF, SFOF, ILF, SLF, cingulum, CST, forceps major, forceps minor, uncinate fasciculus, and ATR.FA: fractional anisotropy; MD: mean diffusivity; IFOF: inferior fronto-occipital fasciculus; SFOF: superior fronto-occipital fasciculus; ILF: inferior longitudinal fasciculus; SLF: superior longitudinal fasciculus; CST: corticospinal tract; ATR: anterior thalamic radiation.***P values of volume and MD of IFOF are significant.",,1,articles/2e3/pmcid_11656998/tables/table_000.csv
5346640,T1,Table 1,Demographic and test data for cognitively normal controls and all patients with lacunar infarction,"Abbreviation: CN, cognitively normal controls; LI, lacunar infarction ; LI-Non MCI, lacunar infarction patient with non mild cognitive impairment; LI-MCI, lacunar infarction patient with mild cognitive impairment; LDL, low-density lipoprotein; FBS, fasting blood sugar; MMSE, mini-mental state examination; MoCA, Montreal Cognitive Assessment; CDT, Clock Drawing Task; RAVLT, Rey Auditory Verbal Learning Test; TMT-A, Trail Making Test A; TMT-B, Trail Making Test B; HAMD-17, 17-item Hamilton Depression Rating Scale. P1, patients group compared with control group; P2, patients with MCI compared with control group and patients without MCI.",2,articles/f19/pmcid_5346640/tables/table_000.csv
5346640,T2,Table 2,Comparison of the fractional anisotropy and mean diffusivity values between cognitive normal controls and all patients with lacunar infarction,"Abbreviation: CN, cognitive normal controls; LI, lacunar infarction; LI-No, lacunar infarction non-mild cognitive impairment; MCI, mild cognitive impairment; FA, fractional anisotropy; MD, mean diffusivity.",2,articles/f19/pmcid_5346640/tables/table_001.csv
5346640,T3,Table 3,Spatial navigation tests for cognitively normal controls and lacunar infarction patients,"Abbreviation: CN, cognitively normal controls; LI-Non MCI, lacunar infarction patient with non mild cognitive impairment; LI-MCI, lacunar infarction patient with mild cognitive impairmen AVE, allo-ego vision; EV, ego vision; AV, allo vision; DV, delayed vision.",2,articles/f19/pmcid_5346640/tables/table_002.csv
5346640,T4,Table 4,Regression coefficients (linear regression analysis) between egocentric in patients and DTI markers,"Mode2 has been adjusted by gender, age, education, the history of hypertension, diabetes mellitus, daily Smoking and drinking.",3,articles/f19/pmcid_5346640/tables/table_003.csv
5346640,T5,Table 5,Regression coefficients (linear regression analysis) between allocentric in patients and DTI markers,"Mode2 has been adjusted by gender, age, education, the history of hypertension, diabetes mellitus, daily Smoking and drinking.",3,articles/f19/pmcid_5346640/tables/table_004.csv
10559725,T1,Table 1,Participant characteristics.,"SD, standard deviation; IQR, interquartile range; CV, cerebrovascular; TIA, transient ischemic attack; WMH, white matter hyperintensity; TICV, total intracranial volume.",1,articles/0ce/pmcid_10559725/tables/table_000.csv
10559725,T2,Table 2,Baseline and longitudinal change in white matter measures.,"aAll groups differ with p <0.001, rmANOVA. bAll groups differ with p <0.01, rmANOVA. cAll groups differ with p <0.001 except penumbra: No Growth vs. NAWM, rmANOVA. dMixed effects linear regression was used to estimate mean annual change as a tissue × time interaction, with NAWM as the reference tissue group. *p <0.05. **p <0.01. ***p <0.001. CI, 95% confidence interval; WMH, white matter hyperintensity; NAWM, normal appearing white matter; FW, free water; FATissue, fractional anisotropy corrected for FW; MDTissue, mean diffusivity corrected for FW; FLAIR, fluid attenuated inversion recovery MRI; rmANOVA, repeated-measures ANOVA.",1,articles/0ce/pmcid_10559725/tables/table_001.csv
11294966,zoi240835t1,Table 1. ,Baseline Demographic and Clinical Characteristicsa,"SI conversion factor: To convert polyunsaturated fatty acid to millimoles per liter, multiply by 0.0355.aBaseline covariates were evaluated and confirmed for balance across the 2 groups using t-statistics for continuous variables and χ2 statistics for categorical variables (sex, race/ethnicity, education, apolipoprotein E ε4 status, Clinical Dementia Rating of 0, histories).bBody mass index is calculated as weight in kilograms divided by height in meters squared.",2,articles/6e2/pmcid_11294966/tables/table_000.csv
11294966,zoi240835t2,Table 2. ,ω-3 Polyunsaturated Fatty Acid Effects on the Main Outcomes in All Participants and by APOE*E4 Carrier Status Over 3 Years Under the Intention to Treat Protocola,"Abbreviation: APOE*E4, apolipoprotein E ε4 allele.aThe intention-to-treat cohort includes all randomly assigned participants with at least 1 follow-up magnetic resonance imaging scan (n = 87).bAnnualized changes were calculated from primary mixed-effects models as time trajectories for ω-3 and placebo groups.cLinear response difference was taken as the treatment-time interaction coefficient from the primary mixed-effects models.dOmega-3 treatment effect sizes were taken as the t-statistic from the primary mixed-effects model for the treatment-time interaction.eCohen d was calculated from the primary mixed-effects models using t-statistic and appropriate df for each outcome.",2,articles/6e2/pmcid_11294966/tables/table_001.csv
11294966,zoi240835t3,Table 3. ,Adverse Events by Experimental Group,"aAdverse events are defined according to the Medical Dictionary for Regulatory Activities terminology. Rates between groups across categories were similar (Fisher exact test, P = .60).bFisher exact test, P = .82.cFisher exact test, P = .36.",2,articles/6e2/pmcid_11294966/tables/table_002.csv
7909688,pone.0247748.t001,Table 1,Clinical overview of the enrolled patients.,Clinical characteristics of the enrolled patients.,1,articles/b7d/pmcid_7909688/tables/table_000.csv
7909688,pone.0247748.t002,Table 2,Overview of the administered cognitive and neuropsychological tests.,"Overview of the cognitive and neuropsychological tests administered to the patients and/or their parents. The number of sub-evaluations of each test is reported and, where applicable, aggregated indexes calculated from the sub-evaluations scores are shown. Test between brackets are additional. Subtests indicated with (*) contribute to the calculation of Index Freedom from Distractibility, while those indicated with (**) contribute to the calculation of Index Processing Speed.",1,articles/b7d/pmcid_7909688/tables/table_001.csv
7909688,pone.0247748.t003,Table 3,Significant associations found for the first and the second analysis and the domain analysis.,"List of the ROIs in which we found a significant association (i.e. p <0.05) between cognitive and neuropsychological evaluation score and both dose values and MD values. On the left the results of the first analysis which considered all the ROIs, while on the right are showed the results of the second analysis performed excluding ROIs with mean doses higher than 75% of the prescription. Preliminary cut-off dose values and AUC values were obtained in the analysis performed for the ROIs having an association with dose with p<0.01. The third column highlights the associations significant also for the domain analysis.",2,articles/b7d/pmcid_7909688/tables/table_002.csv
6918918,jad-72-jad190446-t001,Table 1,Participants’ demographic characteristics,"asignificantly different between groups, χ2 = 9.95, 3 df, p = 0.02; bsignificantly different between groups, F(3, 267)=8.7, p < 0.001; csignificantly different between groups, F(3, 267)=2.7, p < 0.05; dsignificantly different between groups, F(3, 267)=184.3, p < 0.001.",1,articles/f75/pmcid_6918918/tables/table_000.csv
6918918,jad-72-jad190446-t002,Table 2,Most frequently selected features for diagnostic group discrimination,1Highest selection frequency was 71%; 2highest selection frequency was 88%.,3,articles/f75/pmcid_6918918/tables/table_001.csv
9927845,brb32863-tbl-0001,TABLE 1,"Descriptive and group comparison of demographic, main neuropsychological data, and biomarkers, significance adjusted for age and education (years)","Note: Mean ± standard deviation/Median (Interquartile range). Statistical analysis: ANCOVA with Bonferroni post hoc test. Pfeffer: Pfeffer Functional Activities Questionnaire.Abbreviations: Aβ, amyloid β peptide; AD, Alzheimer's disease; CDR, Clinical Dementia Rating; MMSE, Mini Mental State Examination; NA, not available; p‐Tau, phosphorylated‐tau; RAVLT, Rey Auditory Verbal Learning Test; t‐Tau, total tau protein; A7, Rey Auditory Verbal Learning Test‐delayed recall.aDifferent from controls.bDifferent from aMCI.*p < .05**p < .01***p < .001.",2,articles/b16/pmcid_9927845/tables/table_000.csv
5334426,Tab1,Table 1,Acquisition parameters,"T1w = T1-weighted, fMRI = functional magnetic resonance imaging, DTI = diffusion tensor imaging, FOV = field of view, TE = echo time, TR = repetition time, ASSET = array spatial sensitivity encoding technique, TI = inversion time*TE for DTI was set to the minimum. This number represents the average TE. The range of TE was 81.9-90.8 ms",1,articles/f86/pmcid_5334426/tables/table_000.csv
5334426,Tab2,Table 2,Demographic characteristics,"PhFTD = phenocopy FTD, BvFTD = behavioural FTD, N = sample size, values given as mean (SD), MMSE = Mini-mental State Examination",1,articles/f86/pmcid_5334426/tables/table_001.csv
6296345,t1-medscimonit-24-8910,Table 1,A summary of the multimodal MRI to assess leukoaraiosis with cognitive impairment.,,1,articles/738/pmcid_6296345/tables/table_000.csv
6706343,t0005,Table 1,"Cross-sectional demographic and clinical characteristics, and gait performance of the Gait and Brain participants included in this study.","* indicates p value was obtained by running ANCOVA using age, sex, BMI, years of education and MMSE scores as confounding variables of no interest. Mean ± standard deviation where applicable; (% of N listed at top of column); [range: minimum to maximum].",1,articles/156/pmcid_6706343/tables/table_000.csv
6706343,t0010,Table 2,Association between WMI as a predictor variable and previous number of falls.,"* Significant at the p < 0.05 level; ** significant at the p < 0.01 level; unadjusted model uses the RD of the forceps minor to predict number of falls. † adjusted for age, number of years of education, gender, BMI and MMSE scores and number of comorbidities †† adjusted for age, number of years of education, gender, BMI and MMSE scores, number of comorbidities and counting gait velocity ††† adjusted for age, number of years of education, gender, BMI and MMSE scores, number of comorbidities, counting gait velocity and WMH volume. χ2 - Likelihood Ratio Chi-Square, df - degrees of freedom.",2,articles/156/pmcid_6706343/tables/table_001.csv
6706343,t0015,Table 3,Parameters estimates for negative binomial regression with multiple predictors.,⁎Significant at the p < .05 level (in bold); IRR: Incident Rate Ratios.,2,articles/156/pmcid_6706343/tables/table_002.csv
8921113,Tab1,Table 1,Demographic and biomarker characteristics of the study participants,"Age and cognitive data (ADAS-Cog 13) were reported as mean (standard deviation). Education years, fluid biomarker levels, and white matter hyperintensity volume were reported as median (range)",1,articles/cbf/pmcid_8921113/tables/table_000.csv
8921113,Tab2,Table 2,"Linear model coefficients accounting for the effects of demographic factors, cortical FBP SUVR, and adjusted NAWM and WMH FBP SUVR on CSF and plasma biomarkers among A + individuals","Linear models including age, sex, clinical diagnosis, cortical FBP SUVR, and NAWM (Model 1) or WMH (Model 2) FBP SUVR as covariates were fitted to describe fluid biomarker levels (dependent variables). Model coefficients of continuous variables were reported as standardized βs. Categorical variable coefficients describe the change in z-score units of fluid biomarkers (references were CN and male sex)*p < 0.05, **p < 0.01, ***p < 0.001",2,articles/cbf/pmcid_8921113/tables/table_001.csv
8921113,Tab3,Table 3,"Linear mixed model time-interaction coefficients accounting for the effects of demographics, WMH volume, cortical FBP SUVR, and adjusted NAWM FBP SUVR on longitudinal change in ADAS-Cog 13","Linear mixed models included fixed effects of age, sex, education years, WMH volume, cortical FBP SUVR, and adjusted NAWM FBP SUVR, as well as their interactions with time. Coefficients represent the annual change in ADAS-Cog 13 (in baseline standard deviation units) with 1 standard deviation change of the baseline covariate.*p < 0.05, **p < 0.01, ***p < 0.001",1,articles/cbf/pmcid_8921113/tables/table_002.csv
4630483,T1,Table 1,Basic demographic and neuropsychological test results,"Values are means±SD. *GDS involves 30-item questions; †Scores of neuropsychological tests are shown in percentile scores. NC, normal controls; SMI, subjective memory impairment; MCI, mild cognitive impairment; GDS, geriatric depression scale; K-MMSE, Korean version of the Mini-Mental State Examination; CDR, clinical dementia rating; CDR-SB, CDR-sum of boxes; RCFT, Rey complex figure test; COWAT, controlled oral word association test.",1,articles/bc1/pmcid_4630483/tables/table_000.csv
4630483,T2,Table 2,Fractional anisotropy (FA) and mean diffusivity (MD) results,"Values are means±SD. NC, normal controls; SMI, subjective memory impairment; MCI, mild cognitive impairment; FA, fractional anisotropy; MD, mean diffusivity; HB, hippocampal body; AC, anterior cingulum; PC, posterior cingulum; Ant. CC, anterior corpus callosum; Post. CC, posterior corpus callosum.",1,articles/bc1/pmcid_4630483/tables/table_001.csv
4630483,T3,Table 3,Voxel based morphometric analysis results,"Regions of more atrophic gray matter (P<0.005, cluster level, uncorrected) were presented. NC, normal controls; SMI, subjective memory impairment; MCI, mild cognitive impairment.",2,articles/bc1/pmcid_4630483/tables/table_002.csv
4630483,T4,Table 4,Comparisons of hippocampal volume among the groups,"Values are means±SD. NC, normal controls; SMI, subjective memory impairment; MCI, mild cognitive impairment; TIV, total intracranial volume.",1,articles/bc1/pmcid_4630483/tables/table_003.csv
6535714,table1-1756286419843447,Table 1.,"Basic demographic features and MR scanning protocols of the multicentre setting. Magnetic resonance data from patients with PD and healthy controls were acquired at five German sites (Dresden, Frankfurt, Marburg, Tübingen, and Ulm). DTI data were transversally recorded in interleaved even order. T2-weighed FLAIR were sagittally recorded.","†Values are given as mean ± standard deviation (min–max).+Kruskal–Wallis analysis of variance on ranks.*Chi-square test.DTI, diffusion tensor imaging; F, female; FLAIR, fluid-attenuated inversion recovery; M, male; MR, magnetic resonance; PD, Parkinson’s disease; TE, time echo; TR, time repetition.",1,articles/7a1/pmcid_6535714/tables/table_000.csv
