pmcid,ext-link-type,href
3285682,uri,http://www.ncbi.nlm.nih.gov/pubmed/21694456
3285682,uri,http://dx.doi.org/10.1016/j.neuroimage.2006.02.024
3285682,uri,http://dx.doi.org/10.1002/hbm.10062
3285682,uri,http://dx.doi.org/10.1093/bioinformatics/bth261
3285682,uri,http://www.sciencedirect.com/science/article/pii/B9780123748560000183
3285682,uri,http://dx.doi.org/10.1023/A:1025667309714
3285682,uri,http://dx.doi.org/10.1016/j.neulet.2011.07.049
3285682,uri,http://www.ncbi.nlm.nih.gov/pubmed/21864688
3285682,uri,http://dx.doi.org/10.1016/j.neuroimage.2010.10.026
3285682,uri,http://dx.doi.org/10.1214/aos/1028144844
3285682,uri,http://dx.doi.org/10.1093/bioinformatics/btl386
3285682,uri,http://citeseer.ist.psu.edu/viewdoc/summary?doi=10.1.1.10.6040
3285682,uri,http://dx.doi.org/10.1016/j.neuroimage.2010.05.068
3285682,uri,http://dx.doi.org/10.1016/j.neuroimage.2005.01.019
3285682,uri,http://dx.doi.org/10.1212/01.wnl.0000250326.77323.01
3285682,uri,http://dx.doi.org/10.1016/j.neuroimage.2008.07.013
3285682,uri,http://dx.doi.org/10.1016/j.neurobiolaging.2008.06.015
3285682,uri,http://dx.doi.org/10.1093/brain/awl359
3285682,uri,http://www.ncbi.nlm.nih.gov/pubmed/20162601
3285682,uri,http://dx.doi.org/10.1002/hbm.21111
4863525,doi,10.1016/j.jneumeth.2015.08.027
4206159,uri,http://neurology.org/
4206159,uri,http://www.neurology.org/
4206159,uri,http://www.fmrib.ox.ac.uk/fsl
3715470,uri,http://www.med.lu.se/om_fakulteten/ekonomi/alf_medel_och_fakultetsmedel
3715470,uri,http://www.vr.se
3715470,uri,http://www.alzheimerfonden.se
3715470,uri,http://www.trackvis.org
3715470,uri,http://surfer.nmr.mgh.harvard.edu/
3715470,uri,http://afni.nimh.nih.gov/afni/
3715470,uri,http://dx.doi.org/10.1016/S1474-4422(10)70299-4
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/21147039
3715470,uri,http://dx.doi.org/10.1093/brain/awr179
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/21810890
3715470,uri,http://dx.doi.org/10.1001/archneur.64.6.830
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/17562930
3715470,uri,http://dx.doi.org/10.1002/ana.20425
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/15786453
3715470,uri,http://dx.doi.org/10.1007/s00234-006-0165-1
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/17200869
3715470,uri,http://dx.doi.org/10.1093/brain/awp071
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/19439421
3715470,uri,http://dx.doi.org/10.1212/WNL.0b013e3181d9edde
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/20404309
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/546871
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/21988828
3715470,uri,http://dx.doi.org/10.1093/brain/awr173
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/21785117
3715470,uri,http://dx.doi.org/10.1007/s00234-008-0379-5
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/18379765
3715470,uri,http://dx.doi.org/10.1016/j.neuroimage.2010.01.041
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/20083207
3715470,uri,http://dx.doi.org/10.1001/archneur.64.2.246
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/17296841
3715470,uri,http://dx.doi.org/10.1016/0167-4943(87)90024-0
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/3689056
3715470,uri,http://dx.doi.org/10.1159/000017225
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/10765042
3715470,uri,http://dx.doi.org/10.1159/000077162
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/15178944
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/22976075
3715470,uri,http://dx.doi.org/10.1001/archneurol.2007.38
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/18268196
3715470,uri,http://dx.doi.org/10.1159/000338176
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/22722668
3715470,uri,http://dx.doi.org/10.1093/brain/awp232
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/19762452
3715470,uri,http://dx.doi.org/10.1093/brain/aws001
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/22366795
3715470,uri,http://dx.doi.org/10.1016/j.cortex.2008.05.004
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/18619589
3715470,uri,http://dx.doi.org/10.1212/WNL.43.11.2412-a
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/8232972
3715470,uri,http://dx.doi.org/10.1093/brain/awn234
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/18829698
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/9043744
3715470,uri,http://dx.doi.org/10.2214/ajr.149.2.351
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/3496763
3715470,uri,http://dx.doi.org/10.1161/01.STR.32.6.1318
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/11387493
3715470,uri,http://dx.doi.org/10.1016/S1361-8415(01)00036-6
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/11516708
3715470,uri,http://dx.doi.org/10.1016/j.neuroimage.2006.01.021
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/16530430
3715470,uri,http://dx.doi.org/10.1093/cercor/bhg087
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/14654453
3715470,uri,http://dx.doi.org/10.1016/j.neuroimage.2004.07.051
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/15501092
3715470,uri,http://dx.doi.org/10.1002/hbm.10062
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/12391568
3715470,uri,http://dx.doi.org/10.1109/42.906424
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/11293691
3715470,uri,http://dx.doi.org/10.1006/nimg.2002.1132
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/12377157
3715470,uri,http://dx.doi.org/10.1016/S1474-4422(05)70223-4
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/16239184
3715470,uri,http://dx.doi.org/10.1002/mrm.21965
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/19253405
3715470,uri,http://dx.doi.org/10.1002/hbm.20072
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/15455461
3715470,uri,http://dx.doi.org/10.1002/mrm.1105
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/11323803
3715470,uri,http://dx.doi.org/10.1016/j.neuroimage.2011.01.048
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/21262366
3715470,uri,http://dx.doi.org/10.1093/brain/awg085
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/12615642
3715470,uri,http://dx.doi.org/10.1097/01.jnen.0000248554.45456.58
3715470,uri,http://www.ncbi.nlm.nih.gov/pubmed/17356379
11187968,uri,https://creativecommons.org/licenses/by-nc-nd/4.0/
11187968,uri,http://www.ep-ad.org
4137565,uri,http://adni.loni.usc.edu/wp-content/uploads/how_to_apply/ADNI_Acknowledgement_List.pdf
4137565,uri,http://creativecommons.org/licenses/by-nc-nd/3.0/
4137565,uri,http://www.adni-info.org
4137565,uri,http://www.fnih.org
4137565,uri,http://dx.doi.org/10.1016/j.neuroimage.2014.03.026
3853114,uri,http://www.nitrc.org/projects/dke
7591030,uri,http://creativecommons.org/licenses/by/4.0/
7591030,uri,http://surfer.nmr.mgh.harvard.edu/
7591030,uri,https://surfer.nmr.mgh.harvard.edu/fswiki/FreeSurferMethodsCitation
7591030,uri,https://www.editorialmanager.com/pone/
7591030,uri,http://journals.plos.org/plosone/s/submission-guidelines#loc-laboratory-protocols
7591030,uri,https://journals.plos.org/plosone/s/file?id=wjVg/PLOSOne_formatting_sample_main_body.pdf
7591030,uri,https://journals.plos.org/plosone/s/file?id=ba62/PLOSOne_formatting_sample_title_authors_affiliations.pdf
7591030,uri,http://journals.plos.org/plosone/s/data-availability#loc-unacceptable-data-access-restrictions
7591030,uri,http://www.bmj.com/content/340/bmj.c181.long
7591030,uri,http://journals.plos.org/plosone/s/data-availability#loc-recommended-repositories
7591030,uri,about:blank
7591030,uri,http://www.plosone.org/static/policies.action#sharing
7591030,uri,https://journals.plos.org/plosone/s/editorial-and-peer-review-process#loc-peer-review-history
7591030,uri,https://www.plos.org/privacy-policy
7591030,uri,https://pacev2.apexcovantage.com/
7591030,uri,http://www.editorialmanager.com/pone/
7719770,uri,http://loop.frontiersin.org/people/1004816/overview
7719770,uri,http://loop.frontiersin.org/people/1061917/overview
7719770,uri,http://loop.frontiersin.org/people/1060715/overview
7719770,uri,http://loop.frontiersin.org/people/421939/overview
7719770,uri,http://dsi-studio.labsolver.org
7719770,uri,https://www.frontiersin.org/articles/10.3389/fnagi.2020.582904/full#supplementary-material
8044349,uri,https://loop.frontiersin.org/people/1191857/overview
3368882,uri,http://afni.nimh.nih.gov/
3368882,uri,http://www.fmrib.ox.ac.uk/fsl/fdt/index.html
3368882,uri,http://www.fil.ion.ucl.ac.uk/spm
6933911,uri,http://creativecommons.org/licenses/by/4.0/
6933911,uri,http://creativecommons.org/publicdomain/zero/1.0/
6933911,uri,http://www.fmrib.ox.ac.uk/fsl
6933911,uri,http://www.fmrib.ox.ac.uk/fsl/fdt
6933911,uri,https://neurovault.org/collections/NXLXKVCZ/
4354903,uri,http://www.fil.ion.ucl.ac.uk/spm
4354903,uri,http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/‎
4354903,uri,http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/Atlases
4354903,uri,http://www.nitrc.org/projects/bnv/
8453576,uri,https://creativecommons.org/licenses/by-nc-nd/4.0/
8453576,uri,https://publons.com/publon/10.1002/jnr.24851
8453576,uri,http://www.cbs.nl/nl-NL/menu/methoden/classificaties/overzicht/soi/2006/default.htm
8453576,uri,https://www.volksgezondheidenzorg.info/onderwerp/overgewicht/cijfers-context/huidige-situatie#node-overgewicht-kinderen
6514143,uri,http://loop.frontiersin.org/people/701898/overview
6514143,uri,http://loop.frontiersin.org/people/691576/overview
6514143,uri,http://loop.frontiersin.org/people/413250/overview
6514143,uri,http://www.fmrib.ox.ac.uk/fsl/index.html
6514143,uri,https://www.frontiersin.org/articles/10.3389/fncir.2019.00028/full#supplementary-material
5996902,uri,http://loop.frontiersin.org/people/172844/overview
5996902,uri,http://loop.frontiersin.org/people/143191/overview
5996902,uri,http://loop.frontiersin.org/people/138349/overview
5996902,uri,http://loop.frontiersin.org/people/369482/overview
5996902,uri,http://loop.frontiersin.org/people/496460/overview
5996902,uri,http://loop.frontiersin.org/people/551519/overview
5996902,uri,http://loop.frontiersin.org/people/529961/overview
5996902,uri,http://loop.frontiersin.org/people/370135/overview
5996902,uri,http://loop.frontiersin.org/people/441039/overview
5996902,uri,http://loop.frontiersin.org/people/551578/overview
5996902,uri,http://loop.frontiersin.org/people/219/overview
5996902,uri,http://loop.frontiersin.org/people/75234/overview
5996902,uri,http://loop.frontiersin.org/people/230984/overview
5996902,uri,http://stroke.ahajournals.org/content/32/6/1318
5996902,uri,http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/
5996902,uri,https://fsl.fmrib.ox.ac.uk/fsl/fslwiki
5996902,uri,https://www.frontiersin.org/articles/10.3389/fnins.2018.00274/full#supplementary-material
9421487,uri,https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/FDT
9421487,uri,http://psmd-marker.com/
9421487,uri,https://www.trackvis.org
9421487,uri,http://stnava.github.io/ANTs/
9421487,uri,http://www.brain-connectivity-toolbox.net/
9421487,uri,https://www.psmd-marker.com/faq/
9421487,uri,https://doi.org/10.1016/j.nicl.2022.103114
4626540,doi,10.1016/j.neuroimage.2015.02.023
9826950,uri,http://enigma.ini.usc.edu/protocols/dti-protocols/
9826950,uri,http://stnava.github.io/ANTs/
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/21778438
9826950,uri,https://www.karger.com/Article/FullText/109998
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/24267647
9826950,uri,https://afni.nimh
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/29980763
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/16858394
9826950,uri,https://link.springer.com/article/10.1007/s11517-021-02478-9
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/29682239
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/24632990
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/28697554
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/24251605
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/31015296
9826950,uri,https://onlinelibrary.wiley.com/doi/full/10.1002/mrm.21890
9826950,uri,https://econtent.hogrefe.com/doi/abs/10.1027/1016-9040/a000298
9826950,uri,https://onlinelibrary.wiley.com/doi/full/10.1002/wcs.1549
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/15511655
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/17071127
9826950,uri,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1460-9568.2005.03882.x
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/17500630
9826950,uri,https://academic.oup.com/brain/article/119/5/1587/369207
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/16473025
9826950,uri,https://www.ncbi.nlm.nih.gov/pubmed/21185847
4513187,uri,http://cmic.cs.ucl.ac.uk/camino
4513187,uri,http://www.fil.ion.ucl.ac.uk/spm
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21208991
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/19914928
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/18771388
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21988828
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/25433958
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/17296841
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/19034900
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21890117
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23576128
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/22772671
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/7582824
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/14972654
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23390180
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23107380
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/22232593
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23792281
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21710360
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/24099786
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21666264
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21325651
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23975453
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/11801231
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/22539611
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/17945154
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/22331029
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/22079653
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21498054
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23047070
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/19126572
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23805313
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/24569686
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23065791
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23312804
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/24510641
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21372059
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23768862
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/17178616
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23361481
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/18814861
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23475817
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/20097045
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23085341
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/20728544
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/17356379
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23589698
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/20858472
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/25377694
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23051902
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21385617
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/19362707
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/16846621
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/19446642
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/22445347
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/15834018
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/19501175
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21810890
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/12058088
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/18314353
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/18848632
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/23216145
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/21908872
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/20400120
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/24439664
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/16195246
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/19376066
4513187,uri,http://www.ncbi.nlm.nih.gov/pubmed/16624579
