pmcid,pmid,doi,title,journal,publication_year,license
7851406,33530016,10.1016/j.nicl.2021.102574,Comparison of regional brain deficit patterns in common psychiatric and neurological disorders as revealed by big data,Neuroimage Clin,2021,http://creativecommons.org/licenses/by-nc-nd/4.0/
6664227,31352218,10.1016/j.nicl.2019.101950,Dopamine D2/D3 receptor abnormalities after traumatic brain injury and their relationship to post-traumatic depression,Neuroimage Clin,2019,http://creativecommons.org/licenses/by/4.0/
7321261,32471036,10.3390/molecules25112472,White Matter Brain Network Research in Alzheimer’s Disease Using Persistent Features,Molecules,2020,http://creativecommons.org/licenses/by/4.0/
7163793,31901155,10.1111/cns.13283,Microstructural disruption of the right inferior fronto‐occipital and inferior longitudinal fasciculus contributes to WMH‐related cognitive impairment,CNS Neurosci Ther,2020,http://creativecommons.org/licenses/by/4.0/
10371072,37503159,10.21203/rs.3.rs-3087503/v1,Magnetic resonance imaging of white matter response to diesel exhaust particles,Res Sq,2023,https://creativecommons.org/licenses/by/4.0/
5608410,28934374,10.1371/journal.pone.0185239,The effect of white matter hyperintensities on statistical analysis of diffusion tensor imaging in cognitively healthy elderly and prodromal Alzheimer's disease,PLoS One,2017,http://creativecommons.org/licenses/by/4.0/
6543025,30827922,10.1016/j.nicl.2019.101718,Single-subject classification of presymptomatic frontotemporal dementia mutation carriers using multimodal MRI,Neuroimage Clin,2019,http://creativecommons.org/licenses/by-nc-nd/4.0/
7662133,33192454,10.3389/fnagi.2020.553998,"Inflammation, Cognition, and White Matter in Older Adults: An Examination by Race",Front Aging Neurosci,2020,http://creativecommons.org/licenses/by/4.0/
2732263,19439421,10.1093/brain/awp071,White matter damage in frontotemporal dementia and Alzheimer's disease measured by diffusion MRI,Brain,2009,http://creativecommons.org/licenses/by-nc/2.0/uk/
5561637,28818116,10.1186/s13195-017-0292-4,Distinct white matter microstructural abnormalities and extracellular water increases relate to cognitive impairment in Alzheimer’s disease with and without cerebrovascular disease,Alzheimers Res Ther,2017,http://creativecommons.org/licenses/by/4.0/
3388101,22768288,10.1371/journal.pone.0037021,Sexual Dimorphism in Healthy Aging and Mild Cognitive Impairment: A DTI Study,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/
4299934,25610761,10.1016/j.nicl.2014.02.012,Increased cortical curvature reflects white matter atrophy in individual patients with early multiple sclerosis,Neuroimage Clin,2014,http://creativecommons.org/licenses/by-nc-nd/3.0/
7456903,32922282,10.3389/fnagi.2020.00218,"Changes Over Time of Diffusion MRI in the White Matter of Aging Brain, a Good Predictor of Verbal Recall",Front Aging Neurosci,2020,http://creativecommons.org/licenses/by/4.0/
6920239,31214916,10.1007/s13365-019-00763-w,Clinical and neuroimaging correlates of cognition in HIV,J Neurovirol,2019,http://creativecommons.org/licenses/by/4.0/
6384328,30798166,10.1016/j.nicl.2019.101723,Characterization of white matter changes along fibers by automated fiber quantification in the early stages of Alzheimer's disease,Neuroimage Clin,2019,http://creativecommons.org/licenses/by-nc-nd/4.0/
11582681,39583646,10.1002/dad2.70023,Association of plasma neurofilament light chain with microstructural white matter changes in Down syndrome,Alzheimers Dement (Amst),2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
10426141,37582732,10.1186/s12883-023-03284-6,Plasma neurofilament light admission levels and development of axonal pathology in mild traumatic brain injury,BMC Neurol,2023,https://creativecommons.org/licenses/by/4.0/
4312919,24510641,10.1002/hbm.22468,Profiles of white matter tract pathology in frontotemporal dementia,Hum Brain Mapp,2014,http://creativecommons.org/licenses/by/3.0/
4863900,26815786,10.1007/s11011-016-9792-3,Alterations in white matter volume and integrity in obesity and type 2 diabetes,Metab Brain Dis,2016,https://creativecommons.org/licenses/by/4.0/
11364465,39214853,10.1093/cercor/bhae344,Temporal dynamics of white and gray matter plasticity during motor skill acquisition: a comparative diffusion tensor imaging and multiparametric mapping analysis,Cereb Cortex,2024,https://creativecommons.org/licenses/by-nc/4.0/
9871745,36703699,10.1016/j.cccb.2023.100158,"Fornix degeneration in risk factors of Alzheimer's disease, possible trigger of cognitive decline",Cereb Circ Cogn Behav,2023,https://creativecommons.org/licenses/by/4.0/
4230048,25431558,10.3389/fnagi.2014.00316,Fractional Anisotropy of the Fornix and Hippocampal Atrophy in Alzheimer’s Disease,Front Aging Neurosci,2014,http://creativecommons.org/licenses/by/4.0/
6520382,31092880,10.1038/s41598-019-43919-8,"Food knowledge depends upon the integrity of both sensory and functional properties: a VBM, TBSS and DTI tractography study",Sci Rep,2019,http://creativecommons.org/licenses/by/4.0/
4684097,26443926,10.3233/JHD-150160,Neuropsychiatry and White Matter Microstructure in Huntington’s Disease,J Huntingtons Dis,2015,https://creativecommons.org/licenses/by-nc/4.0/
5364534,28338052,10.1038/srep45131,Dissociable diffusion MRI patterns of white matter microstructure and connectivity in Alzheimer’s disease spectrum,Sci Rep,2017,http://creativecommons.org/licenses/by/4.0/
3348019,22594996,10.1186/1471-2105-13-S7-S10,Modeling the interactions of Alzheimer-related genes from the whole brain microarray data and diffusion tensor images of human brain,BMC Bioinformatics,2012,http://creativecommons.org/licenses/by/2.0
11851321,39740225,10.1002/alz.14453,MRI free water mediates the association between diffusion tensor image analysis along the perivascular space and executive function in four independent middle to aged cohorts,Alzheimers Dement,2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
7025138,32062565,10.1016/j.nicl.2020.102203,Systems modeling of white matter microstructural abnormalities in Alzheimer's disease,Neuroimage Clin,2020,http://creativecommons.org/licenses/by-nc-nd/4.0/
3430626,22952843,10.1371/journal.pone.0043993,Grey and White Matter Changes across the Amyotrophic Lateral Sclerosis-Frontotemporal Dementia Continuum,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/
6083450,30101061,10.1016/j.nicl.2018.07.021,Functional and structural connectivity of the amygdala underpins locus of control in mild cognitive impairment,Neuroimage Clin,2018,http://creativecommons.org/licenses/by-nc-nd/4.0/
11506346,39451989,10.3390/brainsci14100975,White Matter Magnetic Resonance Diffusion Measures in Multiple Sclerosis with Overactive Bladder †,Brain Sci,2024,https://creativecommons.org/licenses/by/4.0/
5329061,28293162,10.3389/fnins.2017.00056,Ensemble Classification of Alzheimer's Disease and Mild Cognitive Impairment Based on Complex Graph Measures from Diffusion Tensor Images,Front Neurosci,2017,http://creativecommons.org/licenses/by/4.0/
4629464,26578952,10.3389/fnagi.2015.00208,Structural Connectivity is Differently Altered in Dementia with Lewy Body and Alzheimer’s Disease,Front Aging Neurosci,2015,http://creativecommons.org/licenses/by/4.0/
10877805,38378607,10.1186/s13195-024-01407-w,"The relationship between amyloid pathology, cerebral small vessel disease, glymphatic dysfunction, and cognition: a study based on Alzheimer’s disease continuum participants",Alzheimers Res Ther,2024,https://creativecommons.org/licenses/by/4.0/
11303796,39107406,10.1038/s41598-024-67535-3,Microstructural brain assessment in late-life depression and apathy using diffusion MRI multi-compartments models and tractometry,Sci Rep,2024,https://creativecommons.org/licenses/by/4.0/
3792746,24179862,10.1016/j.nicl.2013.07.006,"Effectiveness of regional DTI measures in distinguishing Alzheimer's
disease, MCI, and normal aging☆",Neuroimage Clin,2013,http://creativecommons.org/licenses/by-nc-nd/3.0/
10177535,37174620,10.3390/cells12091220,Basal Ganglia Compensatory White Matter Changes on DTI in Alzheimer’s Disease,Cells,2023,https://creativecommons.org/licenses/by/4.0/
9014677,34775867,10.1177/0271678X211058803,"White matter damage due to pulsatile versus steady blood pressure
differs by vascular territory: A cross-sectional analysis of the UK Biobank
cohort study",J Cereb Blood Flow Metab,2021,https://creativecommons.org/licenses/by/4.0/
11680639,39316311,10.1007/s11682-024-00941-3,Cognitive impairment mediates the white matter injury load and gait disorders in subcortical ischemic vascular disease,Brain Imaging Behav,2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
7934686,33681461,10.3390/tomography7010003,Systematic Assessment of the Impact of DTI Methodology on Fractional Anisotropy Measures in Alzheimer’s Disease,Tomography,2021,http://creativecommons.org/licenses/by/4.0/
3839877,24282593,10.1371/journal.pone.0081419,Associations between White Matter Microstructure and Cognitive Performance in Old and Very Old Age,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/
8824472,35073256,10.7554/eLife.73510,Impact of long- and short-range fibre depletion on the cognitive deficits of fronto-temporal dementia,eLife,2022,https://creativecommons.org/licenses/by/4.0/
3632543,23613774,10.1371/journal.pone.0061014,Mechanisms of Cognitive Impairment in Cerebral Small Vessel Disease: Multimodal MRI Results from the St George's Cognition and Neuroimaging in Stroke (SCANS) Study,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/
3776403,24052798,10.1159/000353456,Imaging Findings Associated with Cognitive Performance in Primary Lateral Sclerosis and Amyotrophic Lateral Sclerosis,Dement Geriatr Cogn Dis Extra,2013,http://creativecommons.org/licenses/by-nc/3.0/
10393263,37533476,10.3389/fneur.2023.1218077,"Association between intracranial vessel calcifications, structural brain damage, and cognitive impairment after minor strokes: a prospective study",Front Neurol,2023,https://creativecommons.org/licenses/by/4.0/
8500888,33638111,10.1007/s11682-021-00458-z,"Decreased myelin content of the fornix predicts poorer memory performance beyond vascular risk, hippocampal volume, and fractional anisotropy in nondemented older adults",Brain Imaging Behav,2021,https://creativecommons.org/licenses/by/4.0/
5539622,28764771,10.1186/s13195-017-0281-7,Sensitivity of restriction spectrum imaging to memory and neuropathology in Alzheimer’s disease,Alzheimers Res Ther,2017,http://creativecommons.org/licenses/by/4.0/
9701560,35358703,10.1016/j.nbd.2022.105714,CSF Tau phosphorylation at Thr205 is associated with loss of white matter integrity in autosomal dominant Alzheimer disease,Neurobiol Dis,2022,https://creativecommons.org/licenses/by-nc-nd/4.0/
5607539,28948070,10.1002/brb3.766,Predicting neurocognitive function with hippocampal volumes and DTI metrics in patients with Alzheimer's dementia and mild cognitive impairment,Brain Behav,2017,http://creativecommons.org/licenses/by/4.0/
8403348,34454529,10.1186/s12974-021-02234-8,Attenuating vascular stenosis-induced astrogliosis preserves white matter integrity and cognitive function,J Neuroinflammation,2021,https://creativecommons.org/licenses/by/4.0/
9465649,35568345,10.1016/j.neuroimage.2022.119303,Free water diffusion MRI and executive function with a speed component in healthy aging,Neuroimage,2022,https://creativecommons.org/licenses/by/4.0/
11331623,39160467,10.1186/s12877-024-05293-7,White matter structure and derived network properties are used to predict the progression from mild cognitive impairment of older adults to Alzheimer’s disease,BMC Geriatr,2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
5738235,29276677,10.1016/j.nicl.2017.12.024,Cross-sectional variations of white and grey matter in older hypertensive patients with subjective memory complaints,Neuroimage Clin,2017,http://creativecommons.org/licenses/by/4.0/
11521969,39479358,10.3389/fnins.2024.1473462,Diffusion tensor imaging in cerebral small vessel disease applications: opportunities and challenges,Front Neurosci,2024,https://creativecommons.org/licenses/by/4.0/
8046043,33416206,10.1002/hbm.25342,Discriminating subcortical ischemic vascular disease and Alzheimer's disease by diffusion kurtosis imaging in segregated thalamic regions,Hum Brain Mapp,2021,https://creativecommons.org/licenses/by/4.0/
7507145,32383552,10.1111/gbb.12656,Genetic risk for Alzheimer disease in children: Evidence from early‐life IQ and brain white‐matter microstructure,Genes Brain Behav,2020,http://creativecommons.org/licenses/by-nc/4.0/
4827723,27104139,10.1016/j.nicl.2016.02.014,Linking white matter and deep gray matter alterations in premanifest Huntington disease,Neuroimage Clin,2016,http://creativecommons.org/licenses/by-nc-nd/4.0/
4536470,26288751,10.1016/j.nicl.2015.06.007,Altered whole-brain white matter networks in preclinical Alzheimer's disease,Neuroimage Clin,2015,http://creativecommons.org/licenses/by-nc-nd/4.0/
11025752,38635499,10.1371/journal.pone.0292576,Impact of APOE-ε alleles on brain structure and cognitive function in healthy older adults: A VBM and DTI replication study,PLoS One,2024,https://creativecommons.org/licenses/by/4.0/
3160749,21904533,10.3389/fneur.2011.00054,Multi-Modal MRI Analysis with Disease-Specific Spatial Filtering: Initial Testing to Predict Mild Cognitive Impairment Patients Who Convert to Alzheimer’s Disease,Front Neurol,2011,http://www.frontiersin.org/licenseagreement
9903216,36300327,10.1177/0271678X221135658,"Retinal capillary microvessel morphology changes are associated with
vascular damage and dysfunction in cerebral small vessel disease",J Cereb Blood Flow Metab,2022,https://creativecommons.org/licenses/by/4.0/
3852215,24367331,10.3389/fnagi.2013.00084,Structural hippocampal network alterations during healthy aging: a multi-modal MRI study,Front Aging Neurosci,2013,http://creativecommons.org/licenses/by/3.0/
5992887,29910747,10.3389/fpsyt.2018.00204,Korsakoff Syndrome in Non-alcoholic Psychiatric Patients. Variable Cognitive Presentation and Impaired Frontotemporal Connectivity,Front Psychiatry,2018,http://creativecommons.org/licenses/by/4.0/
10897532,38290851,10.1523/ENEURO.0496-23.2024,Temporal Alterations in White Matter in An App Knock-In Mouse Model of Alzheimer’s Disease,eNeuro,2024,https://creativecommons.org/licenses/by/4.0/
5614750,28975068,10.1016/j.nicl.2017.09.007,Longitudinal white matter change in frontotemporal dementia subtypes and sporadic late onset Alzheimer's disease,Neuroimage Clin,2017,http://creativecommons.org/licenses/by-nc-nd/4.0/
5065043,27761397,10.1016/j.nicl.2016.09.020,Interhemispheric connectivity in amyotrophic lateral sclerosis: A near-infrared spectroscopy and diffusion tensor imaging study,Neuroimage Clin,2016,http://creativecommons.org/licenses/by-nc-nd/4.0/
4529164,26252210,10.1371/journal.pone.0134766,Microstructural White Matter Properties Mediate the Association between APOE and Perceptual Speed in Very Old Persons without Dementia,PLoS One,2015,http://creativecommons.org/licenses/by/4.0/
10962441,38465597,10.1161/STROKEAHA.123.045857,Relationship of Perivascular Space Markers With Incident Dementia in Cerebral Small Vessel Disease,Stroke,2024,https://creativecommons.org/licenses/by/4.0/
11067201,38702626,10.1186/s12880-024-01284-7,Predicting Alzheimer’s progression in MCI: a DTI-based white matter network model,BMC Med Imaging,2024,https://creativecommons.org/licenses/by/4.0/
4334653,25693199,10.1371/journal.pone.0116330,Microstructural White Matter Tissue Characteristics Are Modulated by Homocysteine: A Diffusion Tensor Imaging Study,PLoS One,2015,http://creativecommons.org/licenses/by/4.0/
