Study,Study design,Country,Study groups (frailty score),Sample size F/M,Age (years) mean ± SD,Mean MMSE ± SD,Modality,Frailty measurements,Cognitive status,Matched for
"Sugimoto, 2019",Case–control,Japan,With CF,86/50,73.4 ± 5.2,25.3 ± 2.5,MRI,Fried criteria,Alzheimer disease ruled out based on criteria of the National Institute on Aging‐Alzheimer's Association (NIA/AA),—
"Tian, 2020",Case–control,United States,Robust (0),185/177,70.2 ± 6.9,—,DTI,Fried criteria,MCI excluded based on Peterson criteriaDementia excluded based on DSM‐III‐RAlzheimer disease excluded based on NINCDS‐ADRDA criteria,Age
"Tian, 2020",Case–control,United States,Prefrail (1–2),168/111,77.2 ± 7.8,—,DTI,Fried criteria,MCI excluded based on Peterson criteriaDementia excluded based on DSM‐III‐RAlzheimer disease excluded based on NINCDS‐ADRDA criteria,Age
"Tian, 2020",Case–control,United States,Frail (≥ 3),21/8,81.3 ± 8.0,—,DTI,Fried criteria,MCI excluded based on Peterson criteriaDementia excluded based on DSM‐III‐RAlzheimer disease excluded based on NINCDS‐ADRDA criteria,Age
"Nishita, 2019",Cohort,Japan,Robust (0),137/192,72.7 ± 5.1,—,MRI,Modified version of Fried criteria,Dementia excluded,Age and sex
"Nishita, 2019",Cohort,Japan,Prefrail (1–2),224/204,74.6 ± 5.8,—,MRI,Modified version of Fried criteria,Dementia excluded,Age and sex
"Nishita, 2019",Cohort,Japan,Frail (≥ 3),54/24,79.2 ± 6.3,—,MRI,Modified version of Fried criteria,Dementia excluded,Age and sex
"Zhao, 2021",Cohort,China,Robust (0),206/161,64.3 ± 5.9,—,MRI,Fried criteria,Alzheimer disease excluded,—
"Zhao, 2021",Cohort,China,Prefrail (1–2),199/111,66.5 ± 6.9,—,MRI,Fried criteria,Alzheimer disease excluded,—
"Zhao, 2021",Cohort,China,Frail (≥ 3),29/20,68.3 ± 6.2,—,MRI,Fried criteria,Alzheimer disease excluded,—
"Isernia, 2023",Cohort,Italy,Robust (0),17/17,"71.5, 6.75???","27.0, 3.5???",MRI,Fried criteria,Severe dementia excluded,—
"Isernia, 2023",Cohort,Italy,Prefrail (1–2),27/18,"75.0, 10.0???","26.0, 3.0???",MRI,Fried criteria,Severe dementia excluded,—
"Isernia, 2023",Cohort,Italy,Frail (≥ 3),14/3,"78.0, 11.0???","25.7, 3.9???",MRI,Fried criteria,Severe dementia excluded,—
"Gutiérrez‐Zúñiga, 2023",Cohort,Ireland,Robust (FI < 0.10),143/152,66.9 ± 7.0,—,"MRI, DTI",A self‐reported 32‐item FI,Neurodegenerative diseases excluded,—
"Gutiérrez‐Zúñiga, 2023",Cohort,Ireland,Prefrail (FI 0.10–0.24),103/87,70.7 ± 7.0,—,"MRI, DTI",A self‐reported 32‐item FI,Neurodegenerative diseases excluded,—
"Gutiérrez‐Zúñiga, 2023",Cohort,Ireland,Frail (FI ≥ 0.25),23/15,74.3 ± 6.9,—,"MRI, DTI",A self‐reported 32‐item FI,Neurodegenerative diseases excluded,—
