Unnamed: 0_level_0,Model I???,Unnamed: 2_level_0,Model II???,Unnamed: 4_level_0,Model III???,Unnamed: 6_level_0
Year 2???,"−0.19 (−0.38,0.00)",0.050,"−0.04 (−0.24,0.16)",0.718,"−0.06 (−0.26,0.14)",0.550
p for interaction,0.013,,0.013,,0.013,
Outcome: Visuomotor speed,Outcome: Visuomotor speed,Outcome: Visuomotor speed,Outcome: Visuomotor speed,Outcome: Visuomotor speed,Outcome: Visuomotor speed,Outcome: Visuomotor speed
FA median???,"0.32 (0.21,0.44)",<0.001,"0.11 (0.01,0.21)",0.025,"0.10 (0.00,0.21)",0.050
Baseline???,"0.25 (0.13,0.37)",<0.001,"0.03 (−0.08,0.14)",0.568,"0.02 (−0.10,0.14)",0.694
Year 1???,"0.35 (0.23,0.46)",<0.001,"0.13 (0.04,0.23)",0.007,"0.12 (0.02,0.23)",0.017
Year 2???,"0.36 (0.25,0.48)",<0.001,"0.15 (0.05,0.25)",0.004,"0.14 (0.03,0.25)",0.010
p for interaction,<0.001,,<0.001,,<0.001,
FA peak height???,"−0.38 (−0.48,−0.27)",<0.001,"−0.12 (−0.21,−0.03)",0.007,"−0.12 (−0.21,−0.03)",0.012
Baseline???,"−0.31 (−0.42,−0.20)",<0.001,"−0.05 (−0.15,0.04)",0.263,"−0.05 (−0.15,0.05)",0.320
Year 1???,"−0.39 (−0.50,−0.29)",<0.001,"−0.14 (−0.22,−0.05)",0.002,"−0.13 (−0.22,−0.04)",0.004
Year 2???,"−0.41 (−0.51,−0.31)",<0.001,"−0.15 (−0.25,−0.06)",0.002,"−0.15 (−0.25,−0.05)",0.002
p for interaction,0.001,,0.001,,<0.001,
Outcome: Visuospatial function,Outcome: Visuospatial function,Outcome: Visuospatial function,Outcome: Visuospatial function,Outcome: Visuospatial function,Outcome: Visuospatial function,Outcome: Visuospatial function
FA median???,"0.40 (0.26,0.53)",<0.001,"0.30 (0.14,0.46)",<0.001,"0.30 (0.13,0.46)",<0.001
p for interaction,0.932,,0.932,,0.893,
FA peak height???,"−0.43 (−0.57,−0.28)",<0.001,"−0.26 (−0.42,−0.11)",0.001,"−0.26 (−0.42,−0.10)",0.001
p for interaction,0.548,,0.548,,0.499,
